Job title (original),Job title (short),Company,Country,State,City,Schedule type,Experience years,Seniority,Skills,Degrees,Software
Financial Data Analyst,Financial Analyst,Cencora,Unknown,Unknown,Unknown,Full-time,3-5,Unknown,Financial Analysis; Data Analysis; Problem Solving; Regulatory Compliance,Bachelor's Degree; Master's Degree,Microsoft Excel; SQL; Python; R
Remote Data Analyst – Spanish Language (ES),Data Analyst,Telus Digital,Spain,Unknown,Unknown,Part-time,0-3,Unknown,Data Analysis; Quality Assurance,,
Data Analyst,Data Analyst,Ruby Labs,Unknown,Unknown,Unknown,Unknown,0-3,Junior,Data Analysis; Problem Solving; Communication; Marketing,Bachelor's Degree,SQL; Tableau; Looker; Google Analytics
Data Analyst,Data Analyst,Alter Solutions,Unknown,Unknown,Unknown,Unknown,3-5,Unknown,Data Analysis,,Power BI; Azure
Business Analyst,Business Analyst,Unknown,Unknown,Unknown,Unknown,Unknown,0-3,Unknown,Data Analysis; Problem Solving; Communication; Process Optimization; Business Acumen,,Microsoft Excel; Power BI
Sr. Data Analyst,Data Analyst,Autodesk,Unknown,Unknown,Unknown,Full-time,5+,Senior,Data Analysis; Data Visualization; Communication; Business Acumen,Other,SQL; Power BI; Tableau; Looker; GitHub; Salesforce
Data Analyst - Travel Industry,Data Analyst,AIC Travel Group SA,Switzerland,Unknown,Geneva,Full-time,0-3,Unknown,Data Analysis; Marketing; Business Acumen; Problem Solving; Communication,,Microsoft Excel; HubSpot; Looker
Data Analyst Enablement Specialist,Consultant,BESTSECRET GROUP,European Union,Unknown,Unknown,Full-time,5+,Mid,Data Analysis; Communication; Problem Solving; Process Optimization,Bachelor's Degree; Master's Degree,SQL; Python; Power BI; Tableau; Looker
Online Data Analyst,Data Analyst,TELUS Digital AI,Spain,Unknown,Unknown,Part-time,0-3,Unknown,Data Analysis; Quality Assurance; Problem Solving; Communication,,
Data Analyst,Data Analyst,MCENG ESPAÑA,Spain,Unknown,Barcelona,Full-time,0-3,Unknown,Data Analysis; Data Visualization; Team Leadership,Bachelor's Degree,Python; R; SQL; MicroStrategy; Power BI; Microsoft Excel; Apache Spark
