Job title (original),Job title (short),Company,Country,State,City,Schedule type,Experience years,Seniority,Skills,Degrees,Software
Growth Data Analyst,Data Analyst,TripleTen,Brazil,Unknown,Unknown,Full-time,0-3,Unknown,Data Analysis; Marketing; Communication; Problem Solving,,Tableau; SQL; Python; Salesforce; HubSpot
Business Analyst,Business Analyst,Unknown,European Union,Unknown,Unknown,Contract,5+,Unknown,Process Optimization; Regulatory Compliance; Business Acumen; Communication,,Power BI; SAP; Azure
UT/UTCD Data Analyst [Level 3],Data Analyst,PIPECARE Europe,Unknown,Unknown,Unknown,Unknown,5+,Unknown,Data Analysis; Problem Solving; Communication; Technical Writing; Quality Assurance; Document Management,Engineering,Microsoft Excel
Data Analyst Scala - 100% Teletrabajo,Data Analyst,Azertium IT,Unknown,Unknown,Unknown,Full-time,0-3,Unknown,Data Analysis,,SQL; Java; Python; Azure; AWS; PostgreSQL
Data Analyst,Data Analyst,Winning Consulting,European Union,Unknown,Unknown,Unknown,3-5,Unknown,Agile; Scrum,,SQL; Jira; AWS; GitHub
Business Analyst | Oracle IDM. Remoto,IT Analyst,Unknown,Unknown,Unknown,Unknown,Unknown,5+,Unknown,Problem Solving; Auditing; Regulatory Compliance,,Oracle
Freelance Business Analyst Security Remote,Business Analyst,Hays,United Kingdom,Unknown,Unknown,Contract,5+,Unknown,Business Acumen; Communication; Problem Solving; Process Optimization; User-Centered Design,,Microsoft Excel
Business Analyst (Technical),Business Analyst,CORUS,Spain,Unknown,Unknown,Unknown,5+,Unknown,Business Acumen; Process Optimization; Cross-functional Collaboration; Communication; Problem Solving; Project Management,Higher Education; Other,Azure
Business Analyst API,Business Analyst,Scalian,Spain,Unknown,Unknown,Full-time,5+,Unknown,Financial Analysis; Communication; Problem Solving; Cross-functional Collaboration; Business Acumen,,Jira; Confluence
Business Analyst,Business Analyst,clearsource,Unknown,Unknown,Unknown,Contract,5+,Unknown,Business Analysis; Process Optimization; Regulatory Compliance,,Power BI; Microsoft Excel; Azure
