"Job title (original)","Job title (short)","Company","Country","State","City","Schedule type","Experience years","Seniority","Skills","Degrees","Software"
"Business Analyst","Business Analyst","Sollers","Spain","Valencian Community","Valencia","Full-time","0-3","Unknown","Agile","Bachelor's Degree",""
"Business Analyst (productos/procesos bancarios) (100% remoto, solo España)","Business Analyst","UST","Spain","Unknown","Unknown","Full-time","3-5","Unknown","Stakeholder Management; Agile; Scrum; Kanban; Communication; Presentation Skills; KPI Definition; Regulatory Compliance; Cross-functional Collaboration","","Jira; Confluence; Power BI; Microsoft Office; PowerPoint"
"Business Analyst","Business Analyst","Capitole Consulting","Spain","Unknown","Unknown","Unknown","3-5","Unknown","Requirement Gathering (detailed); Cross-functional Collaboration; Stakeholder Management; Agile; Scrum; Kanban; Waterfall; Communication; Process Optimization","","Excel"
"Business Analyst","Business Analyst","Scalian Spain","Spain","Unknown","Unknown","Full-time","3-5","Unknown","Agile; Stakeholder Management; Communication; Problem Solving; Organization","","SQL; Excel; Airflow; Spark; Scala; Qlik Sense; Databricks"
"Data Analyst & Business Partner","Data Analyst","Holafly","Spain","Unknown","Unknown","Full-time","3-5","Unknown","Data Analysis; Business Intelligence; Stakeholder Management; Cross-functional Collaboration; Communication; Problem Solving; Business Acumen; Reporting & Dashboards; KPI Dashboards; Data-driven decision making","Bachelor's Degree","SQL; Power BI; Tableau; Excel"
"Business Analyst","Business Analyst","Odoo","Spain","Valencian Community","Valencia","Full-time","0-3","Unknown","Communication; Problem Solving; Stakeholder Management; Training; Coaching","","Python; HTML"
"Analista de Negocio - Precios & Operaciones","Business Analyst","IVC Evidensia","Spain","Valencian Community","Valencia","Full-time","3-5","Unknown","Stakeholder Management; Cross-functional Collaboration","","SQL; Power BI; Excel"
"Business Analyst","Business Analyst","Unknown","European Union","Unknown","Unknown","Contract","5+","Mid","Stakeholder Management; Cross-functional Collaboration; Business Intelligence; Reporting & Dashboards; Data Analysis; Requirements Gathering; Process Optimization; Communication; Analytical Thinking; Quality Control; Regulatory Compliance","","Power BI; Qlik Sense; Microsoft Office"
"Business Analyst (Pricing & Operations)","Business Analyst","IVC Evidensia","Spain","Valencian Community","Valencia","Full-time","3-5","Unknown","Stakeholder Management; Cross-functional Collaboration; KPI Definition","","SQL; Power BI; Excel"
"Freelance Business Analyst - AI Trainer","Business Analyst","Mindrift","Spain","Unknown","Unknown","Part-time","3-5","Unknown","Analytical Thinking; Problem Solving","Bachelor's Degree; Master's Degree; PhD",""
