"Job title (original)","Job title (short)","Company","Country","State","City","Schedule type","Experience years","Seniority","Skills","Degrees","Software"
"Product Associate","Product Analyst","Zenown","Spain","Unknown","Unknown","Full-time","0-3","Junior","Data Analysis; Market Research; Competitive Analysis; Stakeholder Management; Communication; Cross-functional Collaboration; Analytical Thinking; Business Acumen; Product Development; Technical Writing; Training","",""
"Product Manager - OpenData","Product Manager","Veeva Systems","Spain","Unknown","Unknown","Full-time","5+","Unknown","Product Development; Product Strategy; Stakeholder Management; Market Research; Competitive Analysis; Data Analysis; Product Analytics; Requirement Gathering (detailed); Cross-functional Collaboration","Bachelor's Degree","SQL"
"Manager, Product Manager","Product Manager","Canonical","EMEA","Unknown","Unknown","Full-time","5+","Manager","Product Strategy; Product Development; Product Roadmapping; Market Research; Competitive Analysis; Stakeholder Management; Cross-functional Collaboration; Executive Communication; Problem Solving; Communication; Strategic Thinking; Product Lifecycle Management; Usability Testing; Mentoring; Team Management; Leadership; Analytical Thinking","Higher Education","Jira; Confluence; Kubernetes; Docker; Grafana; Microsoft Office; Excel; PowerPoint; Word"
"Product Manager (100% Remote)","Product Manager","Robert Walters","Spain","Comunitat Valenciana","Valencia","Unknown","3-5","Manager","Product Development; Product Analytics; Stakeholder Management; Cross-functional Collaboration; Executive Communication; Data Analysis; Product Strategy; Communication; Problem Solving; Critical Thinking; Analytical Thinking; Strategic Thinking; Agile","","Google Analytics; Looker; Mixpanel; Figma"
"Product Manager","Product Manager","Triple","Spain","Unknown","Unknown","Full-time","3-5","Unknown","Product Strategy; Product Development; Product Launch; Product Roadmapping; Feature Prioritization; User Stories; Requirements Gathering; Market Research; Competitive Analysis; Product Analytics; Stakeholder Management; Cross-functional Collaboration; Executive Communication; Communication; Problem Solving","","SQL"
"Growth Product Manager (Web)","Product Manager","Reverse Tech","Spain","Catalonia","Barcelona","Full-time","3-5","Mid","Product Strategy; Product Development; Product Launch; Product Roadmapping; Feature Prioritization; User Stories; Requirements Gathering; Market Research; Competitive Analysis; Product Analytics; Growth Hacking; A/B Testing; UI/UX Design; User Research; User-Centered Design; Design Thinking; Wireframing; Prototyping; Visual Design; Interaction Design; Information Architecture; Usability Testing; Product portfolio management (basic); Stakeholder Management; Cross-functional Collaboration; Communication; Problem Solving; Critical Thinking; Analytical Thinking; Business Acumen; AOV; LTV; Conversion Rate Optimization (CRO); Experimentation; Data Analysis; Funnel Analysis","","Google Analytics; Figma; Adobe XD"
"Product Manager","Product Manager","Incode","Spain","Unknown","Unknown","Full-time","5+","Manager","Product Strategy; Product Development; Product Roadmapping; Feature Prioritization; Market Research; Competitive Analysis; Product Analytics; Growth Hacking; Stakeholder Management; Cross-functional Collaboration; Executive Communication; KPI Definition; Metrics Design; Performance Measurement; Product-led Growth (PLG)","",""
"Junior Product Manager","Product Manager","Tuotempo","Italy","Catalonia","Bologna","Unknown","0-3","Junior","Product Development; Requirements Gathering; Stakeholder Management; Communication","Bachelor's Degree","Jira; Confluence"
"Product Manager","Product Manager","Wikifarmer","Spain","Unknown","Unknown","Full-time","3-5","Manager","Product Development; Product Roadmapping; Feature Prioritization; User Stories; Market Research; Competitive Analysis; Product Analytics; Stakeholder Management; Cross-functional Collaboration; Experimentation; Experiment Design; Experiment Analysis; A/B Testing; Data Analysis; KPI Definition; Metrics Design; Growth Hacking; User Acquisition; Product-led Growth (PLG); Communication; Problem Solving; Analytical Thinking; Business Acumen","","Figma; SQL; Google Analytics"
"Global Product Manager - Crop Protection / Insecticides","Product Manager","ADAMA","European Union","Unknown","Unknown","Full-time","5+","Manager","Product Strategy; Product Development; Product Launch; Product Roadmapping; Market Research; Competitive Analysis; Stakeholder Management; Cross-functional Collaboration; Strategic Thinking; Analytical Thinking","Bachelor's Degree; Master's Degree","Microsoft Office; Excel; PowerPoint; Word; Outlook; Google Workspace"
