"Job title (original)","Job title (short)","Company","Country","State","City","Schedule type","Experience years","Seniority","Skills","Degrees","Software"
"Bolsa de talento Ford España","Unknown","Unknown","Spain","Valencian Community","Valencia","Unknown","0-3","Unknown","AI; Data Analysis; Data Mining","Engineering",""
"Operations Manager","Operations Manager","Inversiva","Spain","Comunitat Valenciana","Valencia","Unknown","5+","Manager","Process Optimization; Stakeholder Management; Cross-functional Collaboration; Communication; Problem Solving; Analytical Thinking","",""
"Junior-Mid Project Manager","Project Manager","Gusta","Spain","Valencian Community","Valencia","Unknown","0-3","Junior","Project Management; Agile; Scrum; Kanban; Stakeholder Management; Presentation Skills; Communication; Problem Solving; Time Management; Organization","","Notion; Jira; Trello"
"Operations Specialist","Consultant","NeuronUP","Spain","Valencian Community","Valencia","Unknown","0-3","Unknown","Process Optimization; Stakeholder Management; Data Analysis; Technical Writing","Higher Education; Engineering","SQL"
"Técnico/a de Selección","Assistant","Singularu","Spain","Valencian Community","Valencia","Unknown","3-5","Unknown","Communication","Bachelor's Degree; Master's Degree",""
"Forma parte de nuestro talento","Unknown","Unknown","Spain","Valencian Community","Alcàsser","Unknown","Unknown","Unknown","","",""
"Ingeniero Industrial","Process Analyst","Hosper Profesional","Spain","Valencian Community","Valencia","Full-time","0-3","Junior","Process Optimization","Engineering",""
"CV For Future Opportunities","Unknown","Sales Layer","Spain","Valencian Community","Valencia","Unknown","0-3","Unknown","Communication; Problem Solving","",""
"Ingeniero/a Industrial (consultoría operacional)","Process Analyst","Laberit","Spain","Valencian Community","Valencia","Unknown","0-3","Unknown","Process Optimization; Communication","Engineering",""
"Programa GrefuTalento: Mejora de Procesos y Formación","Process Analyst","GREFUSA","Spain","Valencia","Alzira","Full-time","0-3","Unknown","Process Optimization; Communication; Negotiation; Team Management","Engineering; Master's Degree","Microsoft Office; Excel; PowerPoint; Word; Google Workspace"
