Job title (original),Job title (short),Company,Country,State,City,Schedule type,Experience years,Seniority,Skills,Degrees,Software
Junior Product Manager,Product Manager,Tuotempo,Spain,Unknown,Barcelona,Unknown,0-3,Junior,Product Management; Communication; Problem Solving; Healthcare Knowledge,Bachelor's Degree,
Product Associate,Product Manager,ZenOwn,Unknown,Unknown,Unknown,Unknown,0-3,Junior,Communication; Data Analysis; Business Acumen,,
"Manager, Product Manager",Product Manager,Canonical,Unknown,Unknown,Unknown,Full-time,5+,Manager,Product Management; Project Management; Communication; Cross-functional Collaboration; Team Leadership; Business Acumen,Higher Education,Jira; Confluence; GitHub; GitLab; Kubernetes; Docker containers
Product Manager - OpenData,Product Manager,Veeva,Spain,Unknown,Unknown,Unknown,Unknown,Unknown,Product Management; Data Analysis,Bachelor's Degree,SQL
Product Manager (100% Remote),Product Manager,Robert Walters Valencia,Spain,Unknown,Valencia,Unknown,5+,Unknown,Product Management; Data Analysis; Communication; Agile; User Research,,Google Analytics; Looker; Figma
Product Manager,Product Manager,Incode,Unknown,Unknown,Unknown,Unknown,5+,Manager,Product Management,,
Product Manager,Product Manager,Seedtag,Spain,Unknown,Madrid,Unknown,5+,Unknown,Product Management; Communication; Data Analysis,Engineering; Other,
Sales And Product Manager,Sales,Bending Spoons,Italy,Unknown,Milan,Full-time,3-5,Unknown,Product Management; Cross-functional Collaboration; Team Leadership; Product Marketing; Sales,,
"Product Manager, Consumer Trading",Product Manager,Kraken,Unknown,Unknown,Unknown,Full-time,3-5,Unknown,Product Management; Data Analysis; Communication; Problem Solving; Business Acumen,,SQL
Product Manager Identity Verification & Fraud,Product Manager,Microblink,Croatia,Unknown,Zagreb,Full-time,5+,Unknown,Product Management; Agile; Data Analysis; Machine Learning; Communication; Problem Solving; Marketing; Cross-functional Collaboration,Bachelor's Degree; Master's Degree; Engineering,SQL
