Job title (original),Job title (short),Company,Country,State,City,Schedule type,Experience years,Seniority,Skills,Degrees,Software
Product Manager,Product Manager,Unknown,Unknown,Unknown,Unknown,Contract,5+,Unknown,Product Management; Communication; Agile; Healthcare Knowledge,,API
"Product Manager, AI & Intelligent Automation",Product Manager,Keyrock,United Kingdom,Unknown,London,Unknown,5+,Unknown,Product Management; Machine Learning; Data Analysis; Process Optimization; Communication; Cross-functional Collaboration; Stakeholder Management,PhD,SQL; Python
Product Operations Engineer - Remote,DevOps Engineer,Zyte,Unknown,Unknown,Unknown,Full-time,3-5,Mid,Data Analysis; Problem Solving; Cross-functional Collaboration; Communication; Technical Writing,,SQL; Python; JavaScript; AWS; Linux
Principal AI Product Manager,Product Manager,Acronis,Unknown,Unknown,Unknown,Full-time,5+,Unknown,Product Management; Machine Learning; Communication; Cross-functional Collaboration,Bachelor's Degree; Master's Degree; Engineering,AWS; Azure; GCP
"Principal Product Manager- Personalization domain, Spain Remote",Product Manager,VistaPrint,Unknown,Unknown,Unknown,Unknown,5+,Unknown,Product Management; Data Analysis; Communication; Problem Solving; Cross-functional Collaboration; SDLC; Business Acumen,,
Group Product Manager,Product Manager,Fundraise Up,Unknown,Unknown,Unknown,Unknown,5+,Manager,Product Management; Cross-functional Collaboration; Communication; Data Analysis; Business Acumen,,
Advanced Product Manager - Digital Trust,Product Manager,Feedzai,Unknown,Unknown,Unknown,Full-time,5+,Mid,Product Management; User Research; UI/UX Design; Data Analysis; Cross-functional Collaboration,Bachelor's Degree; Master's Degree; Engineering,
"Principal Technical Product Manager, Cimpress Technology - UK Remote",Product Manager,Cimpress,Unknown,Unknown,Unknown,Unknown,5+,Unknown,Product Management; API; Cross-functional Collaboration; Communication; Problem Solving,Bachelor's Degree; Engineering,SQL; AWS; GCP
Product Manager ITIL,Product Manager,PeopleCert,Unknown,Unknown,Unknown,Unknown,3-5,Unknown,Product Management; Marketing; Business Acumen; Problem Solving; Communication,Bachelor's Degree,
AI Product Manager,Product Manager,Unknown,Unknown,Unknown,Unknown,Unknown,5+,Manager,Product Management; Financial Analysis; Regulatory Compliance; Communication; Team Leadership; Cross-functional Collaboration; Business Acumen,Other,; 
