Job title (original),Job title (short),Company,Country,State,City,Schedule type,Experience years,Seniority,Skills,Degrees,Software
Product Manager - SaaS,Product Manager,Santander Auto Software,Unknown,Unknown,Unknown,Full-time,5+,Mid,Product Management; Communication; Problem Solving; Project Management; User Research; Agile; Data Analysis; User-Centered Design,Bachelor's Degree,Jira; GitLab; Figma
Product Manager,Marketing Specialist,Unknown,European Union,Unknown,Unknown,Full-time,5+,Manager,Marketing; Product Management; Regulatory Compliance; Business Acumen; Healthcare Knowledge,,
Product Manager,Product Manager,Unknown,European Union,Unknown,Unknown,Full-time,5+,Manager,Product Management; Marketing; Data Analysis; Business Acumen; Communication; Cross-functional Collaboration; Supply Chain Management; Process Optimization,Bachelor's Degree; Master's Degree; Engineering,
Product Manager - Specialty tyres,Product Manager,Sailun Group,Unknown,Unknown,Unknown,Unknown,5+,Manager,Project Management; Data Analysis; Product Management; Communication; Cross-functional Collaboration; Financial Analysis,Bachelor's Degree; Master's Degree; Engineering,
"Staff Product Manager (remote, UTC-3 to UTC+3)",Product Manager,Checkly,Unknown,Unknown,Unknown,Full-time,5+,Senior,Product Management; Agile; Communication; Cross-functional Collaboration,,AWS
Junior Product Manager,Product Manager,Canonical,Unknown,Unknown,Unknown,Full-time,5+,Manager,Product Management; Project Management; Communication; Cross-functional Collaboration; Team Leadership; Business Acumen; Problem Solving; Agile; Scrum; Marketing; Sales,Higher Education,Linux; Kubernetes; Docker; Grafana; GitHub; GitLab; AWS; Azure; GCP
"Product Manager, Payments",Product Manager,Kraken,Unknown,Unknown,Unknown,Full-time,3-5,Mid,Product Management; Process Optimization; Cross-functional Collaboration; Communication; Problem Solving; Data Analysis,Bachelor's Degree,
Payments Product Analyst (Full remote within Spain),Product Analyst,Leadtech,Spain,Unknown,Barcelona,Full-time,0-3,Unknown,Data Analysis; Communication; Problem Solving; Business Acumen,,Microsoft Excel; Google Analytics
Product Manager especializado/a en producto API - Remoto,Product Manager,BETWEEN TECHNOLOGY,Spain,Unknown,Unknown,Unknown,5+,Unknown,Product Management; Agile; Scrum; API; Business Acumen,,
Product Manager,Product Manager,MEDDICC,Unknown,Unknown,Unknown,Full-time,5+,Mid,Product Management; User Research; Agile; Scrum; Communication; Cross-functional Collaboration,,
