Job title (original),Job title (short),Company,Country,State,City,Schedule type,Experience years,Seniority,Skills,Degrees,Software
Product Designer,Product Designer,Mercadona Tech,Spain,Valencian Community,Valencia,Full-time,3-5,Mid,User Research; User-Centered Design; Design Thinking; Wireframing; Prototyping; UI/UX Design; Agile; Stakeholder Management; Cross-functional Collaboration; Communication; Problem Solving,,Figma; Sketch; Framer
Ingeniero/a Industrial (consultoría operacional),Consultant,Laberit,Spain,Valencian Community,Valencia,Unknown,0-3,Unknown,Process Optimization,Engineering,
¿Quieres trabajar con nosotros?,Unknown,Octopus Energy,Spain,Valencia,Valencia,Full-time,Unknown,Unknown,,,
Junior/Beca en Deloitte Legal - Valencia,Consultant,Deloitte,Spain,Valencian Community,Valencia,Unknown,0-3,Unknown,Communication; Problem Solving; Analytical Thinking; Stakeholder Management,Bachelor's Degree; Master's Degree,
Data Analyst (Mobile Games),Data Analyst,Unknown,European Union,Unknown,Unknown,Contract,3-5,Mid,Data Analysis; Data Visualization; Reporting & Dashboards; KPI Dashboards; Funnel Analysis; Attribution Modeling; Business Intelligence; Google Analytics (UA); A/B Testing,,Excel; Google Analytics
Becario de operaciones,Operations Manager,Unknown,Spain,Valencian Community,Valencia,Full-time,0-3,Intern,Stakeholder Management; Cross-functional Collaboration; Communication; Organization; Process Optimization,Engineering; Higher Education,Excel
Técnico/a de planificación de la demanda,Data Analyst,Norauto,Spain,Valencia,Valencia,Full-time,0-3,Unknown,Data Analysis; Communication; Problem Solving; Organization; Logistics; Stakeholder Management; Supply Chain Management,Bachelor's Degree; Master's Degree; Engineering,Excel
Business Analyst (Pricing & Operations),Business Analyst,IVC Evidensia,Spain,Valencian Community,Valencia,Full-time,3-5,Unknown,Data Analysis; Stakeholder Management; Communication; Organization; Project Management; KPI Definition; Business Acumen; Reporting & Dashboards,,Excel; Power BI; SQL
Player Care - QA Analyst - Monopoly GO!,QA / Test Engineer,Scopely,Spain,Andalucía,Sevilla,Unknown,0-3,Unknown,Communication; Quality Assurance; Stakeholder Management,,Jira; Excel
"Responsable de Planificación, Seguimiento de Negocio y Operaciones Territorial_DT Levante",Business Analyst,AXA,Spain,Valencian Community,Valencia,Unknown,5+,Unknown,Stakeholder Management; Cross-functional Collaboration,Bachelor's Degree; Engineering,
