Job title (original),Job title (short),Company,Country,State,City,Schedule type,Experience years,Seniority,Skills,Degrees,Software
Product Manager,Product Manager,Avantio,Spain,Valencian Community,Valencia,Full-time,3-5,Manager,Product Development; Product Strategy; Product Roadmapping; Market Research; Competitive Analysis; Stakeholder Management; Cross-functional Collaboration; Requirements Gathering; Communication; Problem Solving; KPI Definition; Metrics Design; Product Analytics; Product-led Growth (PLG); Growth Hacking; Business Acumen; Strategic Thinking; Leadership; Project Management; Agile,,Jira; Confluence; Figma; SQL; Productboard; ProductPlan
Product Manager,Product Manager,Cecotec,Spain,Valencian Community,Valencia,Unknown,3-5,Lead,Market Research; Product Development; Stakeholder Management,Bachelor's Degree,Excel
OPERATIONAL PRODUCT MANAGER H/M (46),Operations Manager,Unknown,Spain,Valencian Community,Valencia,Unknown,5+,Manager,Stakeholder Management; Cross-functional Collaboration; Negotiation; Regulatory Compliance; Supply Chain Management; Logistics,Master's Degree; Higher Education,Microsoft Office; Excel; Word; Outlook; PowerPoint
CATEGORY/PRODUCT MANAGER,Product Manager,Sp-Berner,Spain,Valencian Community,Aldaya,Unknown,3-5,Manager,Market Research; Stakeholder Management; Cross-functional Collaboration; Analytical Thinking; Strategic Thinking; Communication; Leadership,Higher Education,Excel; PowerPoint; Microsoft Office
Product Manager,Product Manager,BrainRocket,Spain,Valencian Community,Valencia,Full-time,0-3,Mid,Product Strategy; Market Research; Competitive Analysis; Cross-functional Collaboration; Stakeholder Management; Problem Solving,,
Product Manager,Product Manager,BrainRocket,Spain,Valencian Community,Valencia,Full-time,3-5,Manager,Product Strategy; Product Development; Product Launch; Product Roadmapping; Market Research; Competitive Analysis; Data Analysis; Problem Solving; Cross-functional Collaboration; Stakeholder Management,,
JOIN OUR PRODUCT MANAGEMENT TEAM!,Product Manager,SanLucar,Spain,Valencian Community,Puzol,Full-time,3-5,Unknown,Product Strategy; Market Research; Competitive Analysis; Negotiation; Supply Chain Management; Logistics,Higher Education,
Product Manager - TOS UI,Product Manager,Kaleris,Spain,Valencian Community,Valencia,Full-time,5+,Manager,Product Development; Requirements Gathering; Stakeholder Management; Cross-functional Collaboration; Technical Specification; Quality Assurance,,
New Product Introduction (NPI) Expert,Project Manager,PowerCo,Spain,Valencian Community,Valencia,Full-time,0-3,Unknown,Project Management; Cross-functional Collaboration; Stakeholder Management; Risk Management; Process Optimization; Technical Writing,Master's Degree; Engineering,Microsoft Office; Excel; PowerPoint; Word; Outlook; Google Workspace
ESG Associate Product Manager,Product Analyst,Apex Group,Spain,Valencian Community,Valencia,Unknown,0-3,Mid,Product Strategy; Product Development; Market Research; Competitive Analysis; User Research; Wireframing; Agile; Stakeholder Management; Cross-functional Collaboration; Communication; Analytical Thinking; Problem Solving; Time Management; Organization; Product Analytics; Software Development; User Interviews; Usability Testing; Product Roadmapping,Bachelor's Degree; Master's Degree; Engineering,Jira; Confluence; Figma; Excel; Microsoft Office; Adobe XD; Tableau
