Job title (original),Job title (short),Company,Country,State,City,Schedule type,Experience years,Seniority,Skills,Degrees,Software
IT Business Analyst,Business Analyst,ERNI,Spain,Valencian Community,Valencia,Unknown,5+,Senior,Data Analysis; Requirements Gathering; Stakeholder Management; Cross-functional Collaboration; Communication; Analytical Thinking; Agile; SDLC; Quality Assurance,,Jira; Confluence
IT Business Analyst con Francés,Business Analyst,Sopra Steria,Spain,Valencian Community,Valencia,Full-time,3-5,Unknown,Requirement Gathering (detailed); Stakeholder Management; Cross-functional Collaboration,,
Técnico/a de redes,Network Engineer,Prosodie,Spain,Valencian Community,Valencia,Full-time,0-3,Unknown,Communication; Security; Regulatory Compliance,Higher Education; Engineering,
Salesforce Marketing Cloud,Software Engineer,Xplore Group,Spain,Valencian Community,Valencia,Full-time,0-3,Junior,Agile; Scrum; Kanban; A/B Testing; Data Modeling; API,,JavaScript; AWS; Azure; Git; GitHub; Jira; Confluence; SQL
Backend AI Engineer,ML Engineer,Shakers,Spain,Valencian Community,Madrid,Unknown,3-5,Unknown,Backend Development; Version Control; API; Performance Optimization; Cross-functional Collaboration; CI/CD; DevOps,,Python; Docker; AWS; Azure; GCP; OpenAI API; Anthropic API; LangChain; LlamaIndex
Especialista en Customer Care,Consultant,Octopus Energy,Spain,Valencian Community,Valencia,Full-time,0-3,Unknown,Communication; Problem Solving; Customer Success alignment,Higher Education; Vocational Training,Excel
Gestor/a Energético/a (Valencia),Customer Success,Octopus Energy Spain,Spain,Valencian Community,Valencia,Full-time,0-3,Unknown,Communication; Customer Success alignment; Sales enablement understanding; Account Management basics; Support escalation processes,,
Product Analyst – Optimización de flujos de compra y configuración,Product Analyst,Fourvenues,Spain,Valencian Community,Valencia,Full-time,3-5,Mid,Data Analysis; Data Visualization; A/B Testing; Funnel Analysis; Cohort Analysis; Experiment Design; Stakeholder Management; Communication; Business Acumen; Analytical Thinking; Problem Solving,,SQL; Tableau; Power BI; GA4; Mixpanel; Amplitude; Looker
Social Media & Content Growth Specialist,Consultant,Imperia,Spain,Valencian Community,Valencia,Full-time,3-5,Mid,Content Marketing; Social Media Marketing; Growth Strategy; Communication; Stakeholder Management,,
Business Operations,Project Manager,Imperia,Spain,Valencian Community,Valencia,Full-time,0-3,Unknown,Project Management; Process Optimization; Stakeholder Management; Communication,Engineering; Computer Science,SQL; SQL Server; Oracle
