"Job title (original)","Job title (short)","Company","Country","State","City","Schedule type","Experience years","Seniority","Skills","Degrees","Software"
"Project Manager","Project Manager","BrainRocket","Spain","Valencian Community","Valencia","Full-time","3-5","Unknown","Project Management; Agile; Scrum; Kanban; SDLC; Time Management; Problem Solving; Communication; Risk Management","","Jira; Confluence"
"Manager Nuevos Desarrollos y Oficina Técnica","Project Manager","Unknown","Spain","Valencian Community","Valencia","Unknown","5+","Manager","Project Management; Product Development","Higher Education",""
"Project Manager Técnico JR/ IT Project Manager JR","Project Manager","Randstad Digital","Spain","Valencian Community","Madrid","Unknown","0-3","Unknown","Project Management; Communication; Negotiation; Stakeholder Management; Time Management; Organization","Other","Microsoft Office"
"Beca - Junior Project Manager","Consultant","Euro-Funding","Spain","Valencian Community","Valencia","Unknown","0-3","Intern","Analytical Thinking; Technical Writing","Engineering; Higher Education","Microsoft Office; Excel; PowerPoint; Word"
"Talent Pool | Project Manager de Obra","Project Manager","Unknown","Spain","Valencian Community","Valencia","Unknown","3-5","Manager","Project Management; Stakeholder Management; Communication; Negotiation; Problem Solving","",""
"CP57 Profesional: Jefe de proyecto","Project Manager","Greene","Spain","Valencian Community","Elche","Unknown","3-5","Manager","Project Management; Leadership; Problem Solving; Communication; Stakeholder Management","Engineering","Microsoft Office"
"Project Manager","Project Manager","Nunsys Group","Spain","Valencian Community","Valencia","Unknown","5+","Unknown","Project Management; Agile; Scrum; Stakeholder Management; Cross-functional Collaboration; Communication; Risk Management; Regulatory Compliance; Technical Writing","","Microsoft Office; Confluence; Jira"
"Gestor/a de Proyectos de I+D+i","Project Manager","AIMPLAS","Spain","Valencian Community","Valencia","Full-time","5+","Unknown","Project Management; Stakeholder Management; Cross-functional Collaboration; Leadership; Business Acumen; Negotiation; Problem Solving; Communication; Technical Writing; Quality Assurance; Regulatory Compliance; Financial Analysis; Risk Management","Bachelor's Degree; Master's Degree","Microsoft Office"
"Responsable de proyectos / Comercial","Project Manager","Ixina Cocinas Alemanas","Spain","Valencia","Alfafar","Full-time","0-3","Unknown","Stakeholder Management","Bachelor's Degree; Higher Education",""
"Product Manager PM - Especialista en ticketing y accesos","Consultant","Fourvenues","Spain","Valencian Community","Valencia","Full-time","3-5","Mid","Product Strategy; Product Development; Product Launch; Product Roadmapping; Feature Prioritization; User Stories; Requirements Gathering; Market Research; Competitive Analysis; Product Analytics; Stakeholder Management; Cross-functional Collaboration; Communication; Problem Solving; Analytical Thinking; Business Acumen; OKRs; KPI Definition; Metrics Design; Performance Measurement; Product Ops support tasks; Roadmap Communication; Roadmap tradeoff communication; Launch post-mortems and learnings; Growth Hacking","",""
