Job title (original),Job title (short),Company,Country,State,City,Schedule type,Experience years,Seniority,Skills,Degrees,Software
IAM Security Analyst,Security Engineer,Mercadona IT,Spain,Valencian Community,Albalat dels Sorells,Full-time,3-5,Unknown,Security; API; REST APIs; Cybersecurity; Information Security,Higher Education,PowerShell; Python; Docker; Kubernetes
Security Operations Automation Engineer,DevOps / SRE,RingCentral,Spain,Valencian Community,Valencia,Full-time,3-5,Unknown,Security; Project Management; Time Management; Communication; DevOps,,Python; Kubernetes; Jenkins; AWS; GCP
Operations Seafreight Export,Operations Manager,TIBA,Spain,Valencian Community,Valencia,Full-time,3-5,Unknown,Stakeholder Management; Cross-functional Collaboration; Communication; Problem Solving,Higher Education,
Salesforce Business Analyst,Business Analyst,Omega CRM,Spain,Valencian Community,Valencia,Full-time,3-5,Unknown,Agile; Stakeholder Management; Cross-functional Collaboration; Functional Programming,,Salesforce
Finance Operations Intern,Unknown,Flywire,Spain,Valencian Community,Valencia,Internship,0-3,Intern,Communication,Bachelor's Degree,Excel
Group Financial Reporting Analyst,Unknown,Mileway,Spain,Valencian Community,Valencia,Full-time,3-5,Mid,Financial Analysis; Auditing,Bachelor's Degree; Master's Degree,Microsoft Office; Excel; PowerPoint; Word; Outlook
HR Specialist & Operations (Temporary),Consultant,Vantive,Spain,Valencian Community,Valencia,Full-time,3-5,Unknown,Analytical Thinking; Communication; Time Management; Organization; Financial Analysis; Auditing,Bachelor's Degree; Law/Labor Relations,Microsoft Office; Excel; Word; Outlook
Business Analyst/Product Owner. Healthcare. Clinical data,Business Analyst,Trinetix,United States,Tennessee,Nashville,Unknown,5+,Senior,Data Analysis; Product Strategy; Product Development; Product Roadmapping; Feature Prioritization; User Stories; Requirements Gathering; Market Research; Competitive Analysis; Product Analytics; Stakeholder Management; Cross-functional Collaboration; KPI Definition; Metrics Design; Regulatory Compliance; Business Intelligence; Data Warehousing concepts; Agile; Scrum; Communication; Problem Solving; Technical Writing; Healthcare Knowledge; Auditing; Risk Management,Bachelor's Degree; Master's Degree; Engineering,Power BI; Tableau; Looker; SQL; Azure; AWS; GCP; Databricks; Snowflake; GA4; Jira; Confluence; Slack; Microsoft Teams; Zoom; Google Meet; Miro; Mural; Whimsical; Lucidchart; Jamboard; FigJam; MS Whiteboard; Dropbox; Google Drive; OneDrive; Box; Microsoft Office; Excel; PowerPoint; Word; Outlook; Google Workspace; Notion
Cybersecurity Operations Consultant,Consultant,UNICC,Spain,Valencian Community,Geneva,Unknown,0-3,Unknown,Security; Cybersecurity; Information Security; Risk Management; Communication,Bachelor's Degree,Qualys; CrowdStrike; Splunk; Google Workspace
Campaign Operations Intern - German speaker,Unknown,Groupon,Spain,Valencian Community,Valencia,Internship,0-3,Intern,Communication; Content Marketing; Digital Design; E-commerce product considerations (checkout optimization),Bachelor's Degree,HTML; Salesforce
