Job title (original),Job title (short),Company,Country,State,City,Schedule type,Experience years,Seniority,Skills,Degrees,Software
Business Operations,Project Manager,Imperia,Spain,Valencian Community,Valencia,Full-time,0-3,Unknown,Project Management; Process Optimization,Engineering; Bachelor's Degree,SQL; SQL Server; Oracle
Operations Manager,Operations Manager,Inversiva,Spain,Valencian Community,Valencia,Unknown,5+,Manager,Process Optimization; Strategic Thinking; Communication; Problem Solving; Analytical Thinking; Stakeholder Management; Cross-functional Collaboration,,
IT Business Analyst,Business Analyst,ERNI,Spain,Valencian Community,Valencia,Unknown,5+,Senior,Agile; SDLC; Stakeholder Management; Cross-functional Collaboration; Communication; Problem Solving; Analytical Thinking,,HTML; CSS; JavaScript; TypeScript; Jira; Confluence
Customer Support Analyst,Technical Support Engineer,Unknown,Spain,Valencian Community,Valencia,Unknown,0-3,Unknown,Communication; Problem Solving; Technical Writing,Bachelor's Degree; Engineering,Python
Branch Operations Supervisor - Valencia,Assistant,Indie Campers,Spain,Valencian Community,Valencia,Full-time,0-3,Junior,Communication; Problem Solving,,
IT Project Manager & Analyst,Project Manager,Lambda Executive,Spain,Valencian Community,Valencia,Full-time,3-5,Unknown,Project Management; Scrum; Stakeholder Management; Communication; Problem Solving; Software Development; Quality Assurance; Regulatory Compliance,Bachelor's Degree; Master's Degree,Python; Jira; Power BI; Grafana; PostgreSQL; Docker; Kubernetes; AWS; Azure
CX Operations & Automation Project Manager,Project Manager,Groupon,Spain,Valencian Community,Madrid,Unknown,5+,Manager,Project Management; Agile; Scrum; Stakeholder Management; Cross-functional Collaboration; Data Analysis; Business Intelligence; Process Optimization; AI; Communication; Problem Solving; Analytical Thinking; KPI Definition,Bachelor's Degree; Engineering,Tableau; Salesforce; Excel; Asana; Google Workspace; Jira; Confluence; Google Analytics
Product Analyst – Optimización de flujos de compra y configuración,Product Analyst,Fourvenues,Spain,Valencian Community,Valencia,Full-time,3-5,Mid,Data Analysis; Data Visualization; Statistical Analysis; A/B Testing; Experiment Design; Experiment Analysis; Cohort Analysis; Funnel Analysis; Product Strategy; Stakeholder Management; KPI Definition; Data-driven decision making,,Python; R; SQL; Tableau; Power BI; Looker; Mixpanel; Amplitude; GA4; Google Analytics
Strategy & Operations Manager (Design),Operations Manager,Revolut,Spain,Unknown,Unknown,Unknown,0-3,Manager,Project Management; Stakeholder Management; Cross-functional Collaboration,Bachelor's Degree,
IT Business Analyst con Francés,Business Analyst,Sopra Steria,Spain,Valencian Community,Valencia,Full-time,3-5,Unknown,Communication; Requirements Gathering; Process Optimization; Analytical Thinking; Problem Solving; Stakeholder Management,,
