Job title (original),Job title (short),Company,Country,State,City,Schedule type,Experience years,Seniority,Skills,Degrees,Software
Business Analyst (Pricing & Operations),Business Analyst,IVC Evidensia,Spain,Valencian Community,Valencia,Full-time,3-5,Unknown,Stakeholder Management; Pricing Strategy; Cross-functional Collaboration; Communication; Organization,,SQL; Power BI; Excel
Operations Assistant (Freelance),Assistant,Unknown,European Union,Unknown,Unknown,Unknown,0-3,Unknown,Communication; Problem Solving,,
Operations Manager,Operations Manager,Inversiva,Spain,Comunitat Valenciana,Valencia,Unknown,5+,Manager,Process Optimization; Stakeholder Management; Communication; Problem Solving; Analytical Thinking; Strategic Thinking,,
Data/AI Analyst (prácticas),Data Analyst,Improven,Spain,Valencian Community,Valencia,Full-time,0-3,Intern,Data Analysis; Data Visualization; Statistical Analysis; Predictive Analytics; Machine Learning; AI; Natural Language Processing; NLP; Data Pipeline; ETL,Bachelor's Degree,Python; R; SQL; Java; Power BI; Azure; Databricks; TensorFlow; PyTorch; Scikit-learn
VALENCIA OPERATIONS MANAGER,Operations Manager,GNV,Spain,Comunitat Valenciana,Valencia,Full-time,5+,Manager,Communication; Negotiation; Problem Solving; Process Optimization; Logistics,Bachelor's Degree; Master's Degree,
RETAIL BUSINESS ANALYST,Business Analyst,JYSK,Spain,Valencian Community,Cheste,Full-time,3-5,Unknown,Financial Analysis,Higher Education,Microsoft Office; Excel
Ventures Analyst,Research Analyst,Plug and Play Tech Center,Spain,Valencian Community,Valencia,Full-time,0-3,Unknown,Stakeholder Management; Communication; Analytical Thinking; Problem Solving; Strategic Thinking,Master's Degree; Engineering; Business; Economics,
ERP Business Analyst (Valencia or Amsterdam),Business Analyst,Mileway,Spain,Valencian Community,Valencia,Full-time,3-5,Mid,Stakeholder Management; Scrum; Cross-functional Collaboration; Communication; Analytical Thinking; Problem Solving,Bachelor's Degree; Engineering,Jira; Excel; Microsoft Office
Junior Portfolio Analyst,Data Analyst,FundRock,Spain,Valencian Community,Valencia,Unknown,0-3,Unknown,Data Analysis; Business Intelligence; Data Visualization; Financial Analysis; Problem Solving; Communication; Stakeholder Management; Regulatory Compliance,Bachelor's Degree,Excel; Microsoft Office
Business Analyst,Business Analyst,Sollers,Spain,Valencian Community,Valencia,Full-time,0-3,Unknown,Agile; Business Acumen; Analytical Thinking; Problem Solving,Bachelor's Degree,Jira; Confluence
