"Job title (original)","Job title (short)","Company","Country","State","City","Schedule type","Experience years","Seniority","Skills","Degrees","Software"
"Salesforce Business Analyst","Business Analyst","Omega CRM","Spain","Unknown","Unknown","Full-time","3-5","Unknown","Stakeholder Management; Cross-functional Collaboration; Process Optimization; Agile; Communication; Problem Solving","","Salesforce; SQL; Tableau; Power BI; Excel; Microsoft Office"
"Carriers Senior Business Analyst","Business Analyst","Holafly","EMEA","Unknown","Unknown","Unknown","5+","Senior","Data Analysis; Business Intelligence; Statistical Analysis; Stakeholder Management; Communication; Presentation Skills; Analytical Thinking; Business Acumen; Strategic Thinking","","SQL; Python; R; Excel; Tableau; Power BI"
"Business Process Architect, SAP S/4HANA Manufacturing","Process Analyst","MGT Consulting","Spain","Unknown","Unknown","Full-time","5+","Unknown","Stakeholder Management; Cross-functional Collaboration; Process Optimization","",""
"Business Analyst - Accounting & Tax Expert","Business Analyst","Odoo","Spain","Valencian Community","Valencia","Unknown","0-3","Unknown","Communication; Stakeholder Management; Project Management; Cross-functional Collaboration","Master's Degree","Google Analytics; Microsoft Office; Excel"
"AWS Business Analyst","Business Analyst","Unknown","European Union","Unknown","Unknown","Full-time","5+","Senior","Data Analysis; Stakeholder Management; Business Intelligence; Data Governance","","AWS; Snowflake; Power BI; SQL"
"Business Analyst for Sailpoint rollout","Business Analyst","Unknown","Spain","Unknown","Unknown","Unknown","5+","Unknown","Stakeholder Management; Requirements Gathering; Data Analysis; Cross-functional Collaboration; Process Optimization; Regulatory Compliance","","Python; R; SQL"
"Business Analyst/Product Owner. Healthcare. Clinical data","Business Analyst","Trinetix","United States","Tennessee","Nashville","Unknown","5+","Senior","Requirements Gathering; Product Development; Product Roadmapping; User Stories; Agile; Scrum; Stakeholder Management; Cross-functional Collaboration; Communication; Problem Solving; Data Analysis; Data Visualization; Business Intelligence; KPI Definition; Metrics Design; Regulatory Compliance; Auditing; Healthcare Knowledge","Bachelor's Degree; Master's Degree","Power BI; Looker; Tableau; GCP; AWS; Azure; Databricks; Snowflake"
"Business Analyst / Product Owner procesos bancarios (Wealth) (100% remoto desde España)","Business Analyst","UST","Spain","Unknown","Unknown","Full-time","5+","Unknown","Agile; Scrum; Kanban; Stakeholder Management; Cross-functional Collaboration","","Jira; Confluence"
"Business Analyst CDP - 100% Remoto (Imprescindible residir en España)","Business Analyst","Capitole Consulting","Spain","Unknown","Unknown","Full-time","3-5","Mid","Stakeholder Management; Cross-functional Collaboration; Process Optimization","",""
"Revenue Business Analyst (Remote)","Business Analyst","iubenda","Spain","Valencian Community","Valencia","Full-time","5+","Mid","Data Analysis; Business Intelligence; KPI Definition; Metrics Design; Performance Measurement; Stakeholder Management; Cross-functional Collaboration; Analytical Thinking; Funnel Analysis; Retention Analysis; Customer Segmentation; Business Acumen; Customer Success alignment; Reporting & Dashboards; KPI Dashboards; Data-driven decision making","","Google Analytics; Amplitude; Braintree; Chargebee; Excel"
