Job title (original),Job title (short),Company,Country,State,City,Schedule type,Experience years,Seniority,Skills,Degrees,Software
Proyect Manager,Project Manager,Grupo Elecnor,Spain,Comunidad Valenciana,Castellón,Full-time,3-5,Unknown,Project Management; Stakeholder Management; Leadership,Engineering,
Project Manager - Product Improvements,Project Manager,Sonova,Spain,Valencian Community,Alicante,Unknown,3-5,Manager,Project Management; Change Management; Process Optimization; Communication; Problem Solving; Team Management; Cross-functional Collaboration; Stakeholder Management,Engineering,Microsoft Teams
Software Project Manager,Project Manager,Preference,Spain,Valencian Community,Valencia,Full-time,5+,Manager,Project Management; Stakeholder Management; Communication; Problem Solving; Process Optimization,Engineering; Higher Education,Jira; Excel
Buscamos: Creativo/A 360O Project Manager,Project Manager,Unknown,Spain,Valencian Community,Alicante,Full-time,Unknown,Manager,Stakeholder Management; Executive Communication; Cross-functional Collaboration,,Photoshop; Premiere Pro; After Effects; Canva; Notion; Google Analytics
Development Manager,Project Manager,31st Union,Spain,Valencian Community,Valencia,Full-time,5+,Manager,Project Management; Stakeholder Management; Cross-functional Collaboration; Communication; Risk Management; Problem Solving; Leadership; Team Management,,Jira; Confluence
RESPONSABLE PROYECTOS I+D+I,Project Manager,Importaco,Spain,Valencian Community,Beniparrell,Unknown,3-5,Unknown,Project Management; Stakeholder Management; Communication; Process Optimization; Analytical Thinking; Regulatory Compliance,Engineering; PhD,Excel; PowerPoint; Word; Outlook; Google Workspace
Scrum Master,Project Manager,BrainRocket,Spain,Valencian Community,Valencia,Full-time,3-5,Mid,Agile; Scrum; Kanban; Project Management; Stakeholder Management; Cross-functional Collaboration; Communication; Problem Solving; Facilitation,,Jira; Trello
New Product Introduction (NPI) Senior Expert,Project Manager,PowerCo,Spain,Valencian Community,Valencia,Full-time,5+,Unknown,Project Management; Stakeholder Management; Cross-functional Collaboration; Process Optimization; Problem Solving; Critical Thinking; Analytical Thinking; Leadership; Team Management; Mentoring; Communication; Risk Management; Technical Writing; Quality Assurance; Statistical Analysis; Data Analysis,Master's Degree; Engineering; Automotive Engineering; Chemical Engineering; Mechanical Engineering,
Consultor/a / PM Dynamics BC,Project Manager,Q-tech,Spain,Unknown,Unknown,Unknown,5+,Senior,Stakeholder Management; Cross-functional Collaboration; Project Management,,Microsoft Office
LLP - TMS of Tomorrow Project - Quality Manager,Quality Analyst,Unknown,Spain,Valencian Community,Valencia,Full-time,3-5,Manager,Project Management; Change Management; Agile; Waterfall; Lean; Six Sigma; Stakeholder Management; Communication; Process Optimization; Supply Chain Management; Risk Management; Auditing; Regulatory Compliance; Quality Assurance; Quality Control,Higher Education; Engineering,Excel; PowerPoint; Word
