Job title (original),Job title (short),Company,Country,State,City,Schedule type,Experience years,Seniority,Skills,Degrees,Software
Digital Data Analyst,Data Analyst,Fourvenues,Spain,Valencian Community,Valencia,Unknown,3-5,Unknown,Data Analysis; Data Visualization; Marketing Analytics; A/B Testing; Hypothesis Testing; Experimentation; Stakeholder Management; KPI Definition; Metrics Design; Reporting & Dashboards; Business Intelligence; Data Warehousing concepts,,SQL; Google Analytics; GA4; Tableau; Google Tag Manager; Excel; Python; Postman; Zapier; HubSpot; MongoDB
Business Analyst,Business Analyst,Apex Group,Spain,Valencian Community,Valencia,Unknown,5+,Unknown,Stakeholder Management; Agile; Scrum; SAFe; Technical Writing; Communication; Problem Solving,Higher Education; Engineering; Other,SQL
AIFM Risk & Valuation Analyst,Risk Analyst,FundRock,Spain,Valencian Community,Valencia,Unknown,Unknown,Unknown,Risk Management; Financial Analysis,,
AIFM Risk & Valuation Analyst,Risk Analyst,FundRock,Spain,Valencian Community,Valencia,Unknown,0-3,Unknown,Risk Management; Financial Analysis; Auditing,Higher Education; Engineering,Excel; Microsoft Office
AIFM Risk & Valuation Analyst,Risk Analyst,FundRock,European Union,Unknown,Unknown,Full-time,0-3,Unknown,Risk Management; Financial Analysis; Auditing,Higher Education; Engineering,
AIFM Risk & Valuation Analyst,Risk Analyst,FundRock,Spain,Valencian Community,Valencia,Full-time,0-3,Unknown,Risk Management; Auditing; Financial Analysis,Higher Education,
Senior HR Operations Specialist,Consultant,Unknown,Spain,Valencian Community,Valencia,Full-time,5+,Senior,Regulatory Compliance; Process Optimization; Problem Solving; Communication; Analytical Thinking; Cross-functional Collaboration; Stakeholder Management; Mentoring; Training,Bachelor's Degree; Master's Degree,
AIFM Risk & Valuation Analyst,Risk Analyst,FundRock,Spain,Valencian Community,Valencia,Full-time,0-3,Unknown,Risk Management; Auditing; Financial Analysis,Bachelor's Degree; Master's Degree,
Portfolio Analyst - AIFM,Data Analyst,FundRock,Spain,Valencian Community,Valencia,Unknown,3-5,Manager,Financial Analysis; Problem Solving; Communication,Bachelor's Degree,Excel; Microsoft Office
SOC Analyst,Security Engineer,BrainRocket,Spain,Valencian Community,Valencia,Full-time,0-3,Unknown,Security; Cybersecurity; Information Security,Bachelor's Degree,AWS; Azure; ELK Stack; Splunk; Jira; Microsoft Teams; Slack
