"Job title (original)","Job title (short)","Company","Country","State","City","Schedule type","Experience years","Seniority","Skills","Degrees","Software"
"PROJECT MANAGER SAT","Technical Support Engineer","Unknown","Spain","Valencian Community","Museros","Full-time","5+","Lead","Communication; Technical Writing","Engineering; Higher Education",""
"Service Delivery Manager","Operations Manager","Omada","Spain","Valencian Community","Alicante","Full-time","5+","Manager","Stakeholder Management; Communication; Problem Solving; Process Optimization; Information Security; Change Management; Leadership","","Microsoft Office"
"Chargé de projet","Project Manager","Avantis Coopérative","Canada","Québec","Sainte-Marie","Full-time","3-5","Mid","Project Management; Stakeholder Management; Cross-functional Collaboration; Communication","Higher Education",""
"PROJECT MANAGER SALESFORCE","Project Manager","Aquaservice","Spain","Valencia","Paterna","Full-time","5+","Manager","Project Management; Stakeholder Management; Communication; Problem Solving","","Salesforce"
"Projects & BIM Manager","Project Manager","Brandty","Spain","Valencian Community","Guardamar del Segura","Full-time","5+","Manager","Project Management; Stakeholder Management; Regulatory Compliance; Risk Management","Bachelor's Degree; Master's Degree; Engineering","Microsoft Office; Excel; PowerPoint; Word; Outlook"
"Salesforce Project Manager","Project Manager","Omega CRM","Spain","Valencian Community","Alicante","Full-time","5+","Manager","Project Management; Agile; Scrum; Stakeholder Management; Cross-functional Collaboration","","Jira; Salesforce"
"EU Project Manager","Assistant","Incubadora CON VALORES","Spain","Valencia","Valencia","Full-time","3-5","Unknown","Project Management; Cross-functional Collaboration","","Microsoft Office; Excel; PowerPoint; Word; Outlook; Google Workspace"
"PROJECT MANAGER PARA SERVICIO DE MANTENIMIENTO EN CA9O (VALENCIA)","Project Manager","Germania","Spain","Valencian Community","Valencia","Full-time","3-5","Manager","Project Management; Stakeholder Management; Cross-functional Collaboration; Regulatory Compliance; Leadership; Team Management","Engineering",""
"Logistic Automation Project Manager","Operations Manager","Power Electronics","Spain","Valencian Community","Valencia","Unknown","5+","Unknown","Project Management; Process Optimization; Logistics; Stakeholder Management; Training; Mentoring; Leadership; Team Management","Engineering","Microsoft Office; Excel; PowerPoint; Word"
"PM/SDM comunicaciones (Alicante)","Project Manager","Métrica","Spain","Valencian Community","Sabadell","Unknown","5+","Manager","Project Management","",""
