Job title (original),Job title (short),Company,Country,State,City,Schedule type,Experience years,Seniority,Skills,Degrees,Software
"Senior Product Manager (Payments Platform, Disbursements)",Product Manager,Flywire,Spain,Valencian Community,Valencia,Full-time,5+,Senior,Product Development; Product Roadmapping; Stakeholder Management; Cross-functional Collaboration; Technical Specification; Communication; Problem Solving,,Jira; Confluence; SQL; Slack; Microsoft Teams; Zoom; Microsoft Office; Excel; PowerPoint; Word; Outlook; Google Workspace
Product Manager,Product Manager,Avantio,Spain,Valencian Community,Valencia,Full-time,3-5,Manager,Product Development; Product Roadmapping; Stakeholder Management; Cross-functional Collaboration; Requirements Gathering; Market Research; Competitive Analysis; KPI Definition; Metrics Design,,Jira; Confluence
Product Manager,Product Manager,Cecotec,Spain,Valencian Community,Valencia,Full-time,3-5,Unknown,Product Development; Market Research; Business Acumen; Stakeholder Management,Bachelor's Degree,Excel
OPERATIONAL PRODUCT MANAGER H/M (46),Operations Manager,Unknown,Spain,Valencian Community,Valencia,Unknown,5+,Manager,Stakeholder Management; Regulatory Compliance; Process Optimization; Supply Chain Management; Logistics; Negotiation,Master's Degree; Higher Education,Microsoft Office; Excel; Word; Outlook
CATEGORY/PRODUCT MANAGER,Product Manager,Sp-Berner,Spain,Valencian Community,Aldaya,Unknown,3-5,Manager,Market Research; Brand Design; Stakeholder Management; Communication; Leadership; Cross-functional Collaboration; Analytical Thinking; Strategic Thinking,Higher Education; Other,Excel; PowerPoint
Product Manager,Product Manager,BrainRocket,Spain,Valencian Community,Valencia,Full-time,0-3,Mid,Product Strategy; Market Research; Competitive Analysis; Stakeholder Management; Cross-functional Collaboration; Problem Solving; Analytical Thinking,,
Product Manager,Product Manager,BrainRocket,Spain,Valencian Community,Valencia,Full-time,0-3,Mid,Product Strategy; Product Development; Product Roadmapping; Market Research; Competitive Analysis; Stakeholder Management; Cross-functional Collaboration; Product Analytics; Data Analysis; Problem Solving; Technical Writing,,SQL; DataRobot
JOIN OUR PRODUCT MANAGEMENT TEAM!,Product Manager,SanLucarian,Spain,Valencian Community,Puzol,Full-time,0-3,Unknown,Market Research; Competitive Analysis; Negotiation; Communication; Stakeholder Management,Engineering; Bachelor's Degree,
Product Manager - TOS UI,Product Manager,Navis,Spain,Valencian Community,Valencia,Full-time,5+,Manager,Stakeholder Management; Cross-functional Collaboration; Requirements Gathering; Product Development; Product Analytics; Product Roadmapping; User Stories; Feature Prioritization,,Jira; Confluence
New Product Introduction (NPI) Expert,Process Analyst,PowerCo Spain,Spain,Valencian Community,Valencia,Full-time,0-3,Unknown,Process Optimization; Regulatory Compliance; Quality Assurance; Quality Control; Data Analysis,Master's Degree; Engineering,
