Job title (original),Job title (short),Company,Country,State,City,Schedule type,Experience years,Seniority,Skills,Degrees,Software
Strategy & Operations Analyst - Becario/a (Valencia),Operations Manager,Hello Watt,Spain,Valencian Community,Valencia,Full-time,0-3,Unknown,Analytical Thinking; Problem Solving; Business Acumen; Communication; Stakeholder Management,,Excel
System Analyst,Business Analyst,BrainRocket,Spain,Valencian Community,Valencia,Full-time,5+,Mid,Requirement Gathering (detailed); System Design awareness; Analytical Thinking; Communication; Problem Solving; Agile; Scrum,Bachelor's Degree,SQL; Jira; Confluence
LLP - Operations Excellence Manager,Operations Manager,DHL Supply Chain,Spain,Valencian Community,Valencia,Unknown,5+,Manager,Project Management; Change Management; Stakeholder Management; Communication; Problem Solving; Team Management; Leadership; Risk Management; Process Optimization; Analytical Thinking,Bachelor's Degree,Excel; PowerPoint; Word; Outlook
Business Analyst (with German),Business Analyst,One.O,Spain,Valencian Community,Valencia,Full-time,3-5,Mid,Data Analysis; Agile; Stakeholder Management; Requirements Gathering; Data Modeling; Communication; Training,Other,SQL
Netowrk Security Analyst,Security Engineer,Mercadona IT,Spain,Valencian Community,Albalat dels Sorells,Unknown,3-5,Unknown,Security; Cybersecurity; Information Security; Risk Management,Higher Education,
Product Data Analyst – User dashboards B2B2C,Data Analyst,Fourvenues,Spain,Valencian Community,Valencia,Full-time,3-5,Mid,Data Analysis; Data Visualization; Data-driven decision making; Business Intelligence; Stakeholder Management; Communication,,SQL; Tableau; Looker; TypeScript; Jira; Confluence; Productboard
Talent Pool | Real Estate Analyst,Data Analyst,Inversiva,Spain,Valencian Community,Valencia,Unknown,0-3,Unknown,Financial Analysis,Engineering; Bachelor's Degree,Excel
Talent Pool | Real Estate Analyst,Data Analyst,Inversiva,Venezuela,Valencia,Greater Valencia Metropolitan Area,Full-time,0-3,Unknown,Financial Analysis; Data Analysis,Other,Excel
Event & Operations Coordinator,Operations Manager,Unknown,Spain,Valencian Community,Valencia,Unknown,0-3,Unknown,Organization; Time Management,,
Junior Analyst – Project Finance and M&A,Research Analyst,Prosolia Energy,Spain,Valencian Community,Valencia,Unknown,3-5,Junior,Financial Analysis; Risk Management,Bachelor's Degree; Master's Degree; Engineering,Excel
