"Job title (original)","Job title (short)","Company","Country","State","City","Schedule type","Experience years","Seniority","Skills","Degrees","Software"
"Project Manager IT Junior (sector logística)","Project Manager","Randstad Digital","Spain","Valencian Community","Valencia","Unknown","0-3","Junior","Project Management; Stakeholder Management; Communication","Other","Microsoft Office; Excel; PowerPoint; Word"
"INGENIERO DE PROCESOS","Process Analyst","Unknown","Spain","Valencia","Riba-Roja Del Túria","Full-time","3-5","Unknown","Process Optimization; Logistics","Engineering",""
"Ingeniero De Soporte De Producción","Operations Manager","KEU","Spain","Valencian Community","Alicante","Full-time","3-5","Unknown","Lean; Process Optimization; Quality Assurance; Quality Control; Problem Solving","Engineering",""
"Gestor/a de catálogos AMAZON","Digital Marketing Specialist","Cecotec","Spain","Valencian Community","Valencia","Unknown","0-3","Unknown","Marketing Analytics","Bachelor's Degree","Excel"
"Project Manager | Part-time","Project Manager","SalesDose.io","Venezuela","Valencia","Greater Valencia Metropolitan Area","Part-time","3-5","Unknown","Project Management; Stakeholder Management; Cross-functional Collaboration; Communication; Problem Solving; Process Optimization","","Notion; ClickUp; HubSpot"
"Customer Operations Coordinator","Operations Manager","International Water & Wellness (IW)","Spain","Valencian Community","Valencia","Full-time","0-3","Unknown","Process Optimization; Logistics; Communication; Problem Solving; Time Management; Organization","","Microsoft Office"
"Junior Consultant (Ayudas a la financiación I+D+i)","Consultant","FI Group","Spain","Valencian Community","Valencia","Unknown","Unknown","Unknown","Stakeholder Management; Cross-functional Collaboration","Engineering",""
"PROJECT MANAGER","Project Manager","Bellver Blue Tech Zone","Spain","Valencian Community","Valencia","Unknown","0-3","Unknown","Project Management; Agile; Scrum; Product Development; Requirements Gathering; Stakeholder Management; Cross-functional Collaboration; Technical Writing; Quality Assurance; Quality Control","","Figma; Sketch; Adobe XD; SQL; AWS; Azure; GCP"
"Talent Pool","Unknown","PowerCo","Spain","Valencian Community","Valencia","Unknown","Unknown","Unknown","","",""
"Ingeniero/a de Procesos","Process Analyst","Hays","Spain","Valencian Community","Valencia","Unknown","5+","Unknown","Process Optimization","Engineering","Microsoft Office"
