Job title (original),Job title (short),Company,Country,State,City,Schedule type,Experience years,Seniority,Skills,Degrees,Software
Supply Chain Manager,Operations Manager,Unknown,Unknown,Unknown,Unknown,Contract,5+,Manager,Supply Chain Management; Process Optimization; Operations Management; Regulatory Compliance,,Microsoft Excel
Business Analyst (Sector energía),Business Analyst,Capitole,Spain,Unknown,Madrid,Full-time,3-5,Unknown,Business Acumen; Communication; Problem Solving; Project Management,,Microsoft Excel; SAP; Word
Coders - AI Training [Remote],Other,Remotasks,Unknown,Unknown,Unknown,Part-time,0-3,Unknown,Communication; Problem Solving,Bachelor's Degree; Master's Degree,SQL; Python; Java; JavaScript; C++; R
Planificador Control-M,Project Manager,Ioon,Unknown,Unknown,Unknown,Unknown,3-5,Unknown,Project Management; Process Optimization,,
Clinical Document Quality Specialist II,Quality Assurance Engineer,Ora,Unknown,Unknown,Unknown,Unknown,3-5,Unknown,Quality Assurance; Document Management; Regulatory Compliance; Clinical Documentation,Bachelor's Degree,Veeva Vault
Business Analyst - (Remote Europe and Nigeria),Business Analyst,Unknown,Unknown,Unknown,Unknown,Unknown,3-5,Unknown,Business Acumen; Communication; Problem Solving; Financial Analysis; Process Optimization; Cross-functional Collaboration,,API
Gestión de componentes,Quality Assurance Engineer,SOGETI,Unknown,Unknown,Unknown,Unknown,0-3,Unknown,Quality Assurance,Engineering,Jenkins
Senior Regulatory Reporting Analyst,Compliance Analyst,Unknown,Spain,Unknown,Madrid,Full-time,5+,Senior,Regulatory Compliance; Auditing; Quality Control; Communication; Agile; Financial Analysis,,Jira
SP Product Manager,Product Manager,Sailun Group,Unknown,Unknown,Unknown,Full-time,5+,Manager,Product Management; Project Management; Data Analysis; Communication; Cross-functional Collaboration; Financial Analysis; Business Acumen,Bachelor's Degree; Master's Degree,
Traffic Operator (100%),Operations Manager,The Bathco Group,Switzerland,Unknown,Zurich,Full-time,0-3,Unknown,Process Optimization; Supply Chain Management; Operations Management; Communication,,Microsoft Excel
