Job title (original),Job title (short),Company,Country,State,City,Schedule type,Experience years,Seniority,Skills,Degrees,Software
Assistant Project Manager (Work From Home),Project Manager,Persona,Unknown,Unknown,Unknown,Full-time,0-3,Junior,Project Management; Process Optimization; Communication; Problem Solving; Business Acumen; Cross-functional Collaboration,,
Junior Data Scientist & AI (€50k-€80k) - EU,Data Scientist,Joinrs,European Union,Unknown,Unknown,Full-time,0-3,Junior,Data Analysis; Data Visualization; Process Optimization,,
PMO Junior (100% Remoto) Proyecto temporal,Project Manager,Aubay,Spain,Unknown,Madrid,Unknown,0-3,Junior,Project Management; Communication,,Microsoft Excel
QA Manual (Seguros),Quality Assurance Engineer,Knowmad Mood,Spain,Unknown,Unknown,Unknown,3-5,Unknown,Agile; Document Management,,
Junior Compliance Analyst,Business Analyst,Dapper Labs,Unknown,Unknown,Unknown,Full-time,0-3,Junior,Communication; Problem Solving; Regulatory Compliance; Document Management; Auditing; Business Acumen; Cross-functional Collaboration,,SQL; Chainalysis; Salesforce
"QA Manual para Canales Asistidos (100% remoto, solo España)",Quality Assurance Engineer,UST,Spain,Unknown,Madrid,Full-time,5+,Unknown,Scrum; Project Management,,Jira; Confluence
PMO junior Oficina gestión de proyectos consultoría tecnológica - 100% remoto - Imprescindible Catalán,Project Manager,Minsait,Unknown,Unknown,Unknown,Unknown,0-3,Unknown,Project Management; Communication,,
Consultor Junior de Proyectos de Transformación🚀,Business Analyst,Excelia,Spain,Unknown,Madrid,Full-time,0-3,Junior,Business Acumen; Process Optimization; Project Management,,
Quality Assurance Analyst,Quality Assurance Engineer,Unknown,European Union,Unknown,Unknown,Unknown,3-5,Unknown,Communication; Problem Solving; Process Optimization; Quality Control; Business Acumen,Bachelor's Degree,
Power BI Developer (Part-time),Data Analyst,Unknown,Unknown,Unknown,Unknown,Part-time,3-5,Unknown,Data Visualization; Agile; Communication; Problem Solving,Bachelor's Degree,Power BI; SQL
