Job title (original),Job title (short),Company,Country,State,City,Schedule type,Experience years,Seniority,Skills,Degrees,Software
Principal Product Manager,Product Manager,Unknown,European Union,Unknown,Unknown,Unknown,5+,Unknown,Product Management; Communication; Cross-functional Collaboration; User-Centered Design,Bachelor's Degree; Master's Degree; Engineering,
Senior Product Manager,Product Manager,Trust in Soda,Unknown,Unknown,Unknown,Unknown,5+,Senior,Product Management; Agile; Cloud Computing; Communication; Cross-functional Collaboration,,SQL
Product & Tech Lead,Product Manager,IdealTwin,Unknown,Unknown,Unknown,Full-time,5+,Lead,Product Management; Agile; Scrum; Communication; Problem Solving; Business Acumen; Cross-functional Collaboration; Team Leadership,,JavaScript; Python
Product Manager ITIL,Product Manager,PeopleCert,Unknown,Unknown,Unknown,Full-time,3-5,Mid,Product Management; Marketing; Business Acumen; Communication; Problem Solving; Cross-functional Collaboration,Bachelor's Degree,
Technical Product Manager,Product Manager,Canonical,Unknown,Unknown,Unknown,Full-time,5+,Unknown,Project Management; Communication; Cross-functional Collaboration; Product Management; Technical Writing; Problem Solving; Business Acumen; Agile,Higher Education,SQL; Jenkins; JUnit; Cypress; Selenium; TestRail; GitHub; GitLab; Docker containers
Product Manager - Industrial Sector Lead,Product Manager,Canonical,Unknown,Unknown,Unknown,Full-time,5+,Lead,Product Management; Communication; Project Management; Business Acumen; Cross-functional Collaboration,Higher Education,
Product Manager - Cloud Native,Product Manager,Canonical,Unknown,Unknown,Unknown,Full-time,5+,Lead,Product Management; Communication; Technical Writing; Cross-functional Collaboration; Team Leadership; Business Acumen; Problem Solving,,SQL; Jenkins
Product Manager,Product Manager,Canonical,Unknown,Unknown,Unknown,Full-time,5+,Lead,Project Management; Communication; Cross-functional Collaboration; Team Leadership; Product Management; Business Acumen,Higher Education,Kubernetes; Docker; Grafana
Product Manager - Desktop,Product Manager,Canonical,Unknown,Unknown,Unknown,Full-time,5+,Unknown,Product Management; Communication; Project Management; Cross-functional Collaboration; Business Acumen; Marketing,Higher Education,Linux
Product Manager,Product Manager,Canonical,Unknown,Unknown,Unknown,Full-time,5+,Lead,Product Management; Project Management; Communication; Cross-functional Collaboration; Team Leadership; Business Acumen; Agile,Higher Education,Jira; Confluence
