Job title (original),Job title (short),Company,Country,State,City,Schedule type,Experience years,Seniority,Skills,Degrees,Software
Product Manager,Product Manager,Seedtag,Spain,Unknown,Madrid,Unknown,5+,Unknown,Product Management; Communication; Business Acumen; Process Optimization; Data Analysis,Engineering; Other,
"Technical Product Manager - Producto API - scrum, agile - remoto (*A)",Product Manager,BETWEEN TECHNOLOGY,Spain,Unknown,Unknown,Unknown,5+,Unknown,Product Management; Agile; Scrum; Communication; Cross-functional Collaboration,,
Global Product Manager Ruminants,Product Manager,Unknown,European Union,Unknown,Unknown,Full-time,5+,Unknown,Cross-functional Collaboration; Marketing; Project Management; Communication; Business Acumen,Bachelor's Degree; Master's Degree,
"Product Manager, Auth0",Product Manager,Okta,Unknown,Unknown,Unknown,Full-time,3-5,Unknown,Product Management; Cross-functional Collaboration; Problem Solving; Communication; Data Analysis; Product Design; Agile,Bachelor's Degree; Master's Degree; Engineering,AWS; Azure; GCP
Senior Growth Product Manager,Product Manager,HomeBuddy,United States,Unknown,Unknown,Full-time,3-5,Mid,Product Management; Data Analysis; User Research; Communication; Agile,,
Junior Product Manager,Product Manager,Canonical,Unknown,Unknown,Unknown,Full-time,5+,Manager,Project Management; Communication; Product Management; Cross-functional Collaboration; Team Leadership; Problem Solving; Business Acumen,Higher Education; Other,Jira; Confluence; GitHub; GitLab; Grafana
Technical Product Manager - AI Core Team,Product Manager,dLocal,Unknown,Unknown,Unknown,Full-time,3-5,Mid,Product Management; Communication; Problem Solving,,AWS; GCP; Azure
Lead Product Manager - SME Lending,Product Manager,Finom,Netherlands,Unknown,Amsterdam,Full-time,5+,Lead,Product Management; Financial Analysis; Cross-functional Collaboration; Communication; Problem Solving; Business Acumen,,
Product Manager - Fusion Model-Based Manufacturing,Product Manager,Autodesk,Germany,Unknown,Unknown,Unknown,5+,Manager,Product Management; Agile; Scrum; Communication; Cross-functional Collaboration,,
Product Manager,Marketing Specialist,Unknown,European Union,Unknown,Unknown,Full-time,5+,Manager,Marketing; Product Management; Regulatory Compliance; Cross-functional Collaboration; Business Acumen,,
