Job title (original),Job title (short),Company,Country,State,City,Schedule type,Experience years,Seniority,Skills,Degrees,Software
Project Coordinator- Core & Casino Operations,Project Manager,Duelbits,European Union,Unknown,Unknown,Full-time,0-3,Unknown,Project Management; Communication; Process Optimization; Agile,,Jira; Confluence; Atlassian
Compliance Analyst,Compliance Analyst,Rush Street Interactive,Unknown,Unknown,Unknown,Full-time,0-3,Unknown,Regulatory Compliance; Auditing; Communication; Problem Solving; Business Acumen; Cross-functional Collaboration,,
Factory Quality Leader,Quality Assurance Engineer,Schneider Electric,Slovakia,Unknown,Unknown,Unknown,5+,Unknown,Quality Control; Problem Solving; Communication; Cross-functional Collaboration; Project Management; Process Optimization; Auditing,Bachelor's Degree; Engineering,Microsoft Excel; AutoCAD; Outlook
Flight Attendant,Other,Imploy,Unknown,Unknown,Unknown,Full-time,0-3,Unknown,Communication,,
Customer Service Specialist (Spanish),Other,Bybit,Unknown,Unknown,Unknown,Full-time,3-5,Unknown,Communication; Problem Solving; Business Acumen,Bachelor's Degree; Other,
Amazon Operations Manager,Operations Manager,Unicorn,Unknown,Unknown,Unknown,Full-time,Unknown,Unknown,Communication; Process Optimization; Operations Management; Cross-functional Collaboration,,Google Sheets
Ingeniero QA - Trabajo Remoto,Quality Assurance Engineer,BairesDev,Unknown,Unknown,Unknown,Full-time,3-5,Unknown,Agile; Quality Assurance; Test Automation; Communication; Problem Solving,Other,Java; JavaScript; JUnit; Cypress; GitHub; DevOps Tools
Receptionist,Other,Unknown,United Arab Emirates,Unknown,Dubai,Full-time,0-3,Unknown,Communication; Problem Solving,,
"Consultor/a ERP (España, 100% remoto)",Project Manager,Inforges,Spain,Unknown,Unknown,Full-time,3-5,Unknown,Project Management; Process Optimization; Communication; Supply Chain Management; Business Acumen,Engineering; Engineering; Other,SAP
Analista de Procesos Markdown / Product Owner,Process Designer,Kapres Technology,Spain,Unknown,Unknown,Full-time,5+,Unknown,Process Optimization; Project Management; Agile; Scrum; Communication,Engineering; Higher Education,SQL
