Job title (original),Job title (short),Company,Country,State,City,Schedule type,Experience years,Seniority,Skills,Degrees,Software
Sales Account & Product Manager Iberia – Compounding / Plastic Materials,Product Manager,IMCD,Spain,Unknown,Unknown,Unknown,5+,Manager,Sales; Product Management; Business Acumen,Engineering; Other,Salesforce
Junior Product Manager,Product Manager,Canonical,Unknown,Unknown,Unknown,Full-time,5+,Lead,Project Management; Communication; Problem Solving; Business Acumen; Cross-functional Collaboration; Team Leadership; Marketing; Sales,Higher Education,Jira; Confluence; GitHub; GitLab
"Sr. Product Manager, Engagement",Product Manager,Kraken,Unknown,Unknown,Unknown,Full-time,5+,Unknown,Product Management; Data Analysis; Communication; Business Acumen,,
Senior Product Manager - Finance Core,Product Manager,dLocal,Unknown,Unknown,Unknown,Unknown,5+,Senior,Product Management; Communication; Business Acumen; Cross-functional Collaboration; Process Optimization; Financial Analysis,,
Senior Product Manager - Digital Platform,Product Manager,Sandvik,Unknown,Unknown,Unknown,Full-time,5+,Senior,Product Management; Agile; API; Communication; Cross-functional Collaboration; Problem Solving; Business Acumen,Bachelor's Degree; Master's Degree; Engineering,
Senior B2C Product Manager,Product Manager,HomeBuddy,United States,Unknown,Unknown,Full-time,3-5,Mid,Product Management; Data Analysis; User Research; Agile; Communication; Problem Solving; Cross-functional Collaboration,,
Senior Product Manager,Product Manager,Unknown,Unknown,Unknown,Unknown,Unknown,5+,Senior,Product Management; Data Analysis; Agile; User Research; Business Acumen,,Google Analytics; Power BI
Senior Product Manager,Product Manager,Unknown,European Union,Unknown,Unknown,Full-time,5+,Senior,Product Management; Communication; Data Analysis; Problem Solving; Business Acumen,,
"Principal Product Manager- Personalization domain, Spain Remote",Product Manager,VistaPrint,Unknown,Unknown,Unknown,Unknown,5+,Unknown,Product Management; Data Analysis; Communication; Problem Solving; Cross-functional Collaboration; Business Acumen,,
Advanced Product Manager - Digital Trust,Product Manager,Feedzai,Unknown,Unknown,Unknown,Full-time,5+,Mid,Product Management; User Research; UI/UX Design; Data Analysis; Cross-functional Collaboration,Bachelor's Degree; Master's Degree; Engineering,
