Job title (original),Job title (short),Company,Country,State,City,Schedule type,Experience years,Seniority,Skills,Degrees,Software
FREELANCE para ventas y promoción de productos a través de redes sociales.,Marketing Specialist,Unknown,Unknown,Unknown,Unknown,Contract,Unknown,Unknown,"Sales, Marketing, Process Optimization, Cross-functional Collaboration, Business Acumen",,
Business Analyst at Gammaux,Business Analyst,Gammaux,Spain,Unknown,Barcelona,Full-time,0-3,Junior,"Product Management, Data Analysis, API, Cloud Computing, Marketing, Business Acumen, Cross-functional Collaboration, Communication, Project Management, Quality Control",Bachelor's Degree,
UX Designer,UX/UI Designer,DoiT,European Union,Unknown,Unknown,Full-time,3+,Mid,"User Research, UI/UX Design, User-Centered Design, Cross-functional Collaboration, Communication",Bachelor's Degree,"Figma, Jira"
Quality Assurance Specialist,Other,Speexx,Spain,Unknown,Madrid,Unknown,0-3,Junior,"Quality Control, Agile, Process Optimization, Problem Solving, Data Analysis, Cross-functional Collaboration, Communication","Bachelor's Degree, Engineering","Microsoft Excel, Jira, Confluence, SQL"
creador/a de contenido y community manager junior,Marketing Specialist,Credexia Marketing,Spain,Unknown,Valencia,Unknown,0-3,Junior,"Marketing, Communication, Project Management, Data Analysis, Business Acumen, Cross-functional Collaboration, Problem Solving",Other,Adobe Creative Suite
PMO Junior / Jefe de Proyecto,Project Manager,Aubay,Spain,Unknown,Madrid,Contract,0-3,Junior,"Project Management, Communication, Cross-functional Collaboration, Problem Solving",,Microsoft Excel
PRODUCT INTERN AT ZENOWN AI SCALE-UP,Product Manager,ZenOwn AI,Unknown,Unknown,Unknown,Internship,0-3,Intern,"Project Management, Data Analysis, Communication, Problem Solving, Process Optimization, Technical Writing, Business Acumen, Cross-functional Collaboration, Product Management",,
Administrativo/a,Other,OPTIMISSA,Unknown,Unknown,Unknown,Full-time,Unknown,Unknown,"Problem Solving, Document Management, Technical Writing, Cross-functional Collaboration, Communication, Business Acumen",,"Microsoft Excel, Word"
Product Owner for Apps,Product Manager,Leadtech,Spain,Unknown,Barcelona,Full-time,Unknown,Unknown,"Data Analysis, Communication, Team Leadership, Cross-functional Collaboration, Problem Solving, Agile, Product Management, Project Management, Document Management, Process Optimization, Statistical Reporting",,
Product Designer,Product Designer,Revolut,Unknown,Unknown,Unknown,Full-time,3-5,Mid,"Product Design, User-Centered Design, Problem Solving, Cross-functional Collaboration, Product Management, User Research, Communication, Business Acumen","Bachelor's Degree, Master's Degree",
