Job title (original),Job title (short),Company,Country,State,City,Schedule type,Experience years,Seniority,Skills,Degrees,Software
Product Manager,Product Manager,Unknown,European Union,Unknown,Unknown,Full-time,5+,Unknown,Product Management; Cloud Computing,,
Regional Product Manager - Heavy-duty connectors,Product Manager,TE Connectivity,Unknown,Unknown,Unknown,Full-time,3-5,Manager,Product Management; Marketing; Sales; Communication; Problem Solving; Cross-functional Collaboration; Supply Chain Management; Financial Analysis; Operations Management,Bachelor's Degree; Master's Degree; Engineering; Business Administration,
Lead Product Manager (IDV),Product Manager,Veriff,Unknown,Unknown,Unknown,Full-time,5+,Lead,Product Management; AI; Machine Learning; Communication; Sales; Marketing; Business Acumen; Cross-functional Collaboration,Bachelor's Degree; Master's Degree; Engineering,
Senior Product Manager [Platform & Growth],Product Manager,Attio,Unknown,Unknown,Unknown,Full-time,3-5,Mid,Product Management; Data Analysis; Communication; Cross-functional Collaboration; Problem Solving,,
Product Manager - AI & Intelligent Automation,Product Manager,Keyrock,United Kingdom,Unknown,London,Unknown,5+,Unknown,Product Management; Data Analysis; Process Optimization; Communication; Problem Solving; Cross-functional Collaboration,,
Product Lead (Remote) - 1014896219,Project Manager,Leadtech,Spain,Unknown,Barcelona,Full-time,5+,Lead,Project Management; Agile; Communication; Cross-functional Collaboration; Team Leadership; Product Management,Bachelor's Degree; Master's Degree,Jira; Confluence
Product manager IoT,Product Manager,ALTEN,Spain,Unknown,Unknown,Unknown,3-5,Unknown,Product Management; Cross-functional Collaboration,Engineering; Higher Education,
Senior Product Manager – Metrology Software Portfolio,Product Manager,Unknown,Unknown,Unknown,Unknown,Full-time,5+,Senior,Product Management; UI/UX Design; Communication; Cross-functional Collaboration; Marketing; Business Acumen; Agile,Bachelor's Degree; Master's Degree; Engineering,
"Principal Product Manager, Trilogy (Remote) - $200,000/year USD",Product Manager,Trilogy,Unknown,Unknown,Unknown,Full-time,5+,Lead,Product Management; Data Analysis; Communication; Business Acumen,,
Principal AI Product Manager,Product Manager,Acronis,Unknown,Unknown,Unknown,Unknown,5+,Lead,Product Management; Machine Learning; Cross-functional Collaboration,Bachelor's Degree; Master's Degree; Engineering,
