Job title (original),Job title (short),Company,Country,State,City,Schedule type,Experience years,Seniority,Skills,Degrees,Software
Product Manager,Product Manager,Unknown,Unknown,Unknown,Unknown,Unknown,5+,Unknown,Product Management; Communication; Problem Solving; Business Acumen,,Microsoft Excel
"Product Manager – Platform Intelligence, AI/ML",Product Manager,Accelerant,Unknown,Unknown,Unknown,Full-time,5+,Manager,Product Management; Data Analysis; Machine Learning; Communication; Cross-functional Collaboration; Technical Writing,,SQL; Snowflake
Product Manager,Product Manager,Unknown,Unknown,Unknown,Unknown,Unknown,5+,Unknown,Product Management; Communication; Agile; Data Analysis; Healthcare Knowledge,,
Product Manager,Product Manager,Unknown,European Union,Unknown,Unknown,Full-time,5+,Manager,Product Management; Marketing; Data Analysis; Business Acumen; Communication; Cross-functional Collaboration; Supply Chain Management; Operations Management,Bachelor's Degree; Master's Degree; Engineering,
AI Product Manager,Product Manager,Unknown,Unknown,Unknown,Unknown,Unknown,5+,Manager,Product Management; Financial Analysis; Communication; Regulatory Compliance; Cross-functional Collaboration; Business Acumen,Bachelor's Degree,
Product Manager - SaaS,Product Manager,Santander Auto Software,Unknown,Unknown,Unknown,Full-time,5+,Mid,Product Management; Project Management; Agile; User Research; UI/UX Design; Data Analysis; Communication; Problem Solving; Business Acumen; Cross-functional Collaboration; User-Centered Design,Bachelor's Degree; Engineering,Jira; Figma; GitLab; SQL
Senior Product Manager (Monetization),Product Manager,Toggl,United Kingdom,Unknown,London,Unknown,5+,Senior,Product Management; Data Analysis; Communication; Problem Solving; Business Acumen; Cross-functional Collaboration,,
"Sr. Product Manager, Engagement",Product Manager,Kraken,Unknown,Unknown,Unknown,Full-time,5+,Mid,Product Management; Data Analysis; Communication; Problem Solving; Cross-functional Collaboration,,
Product Manager - Star Trek Fleet Command,Product Manager,Scopely,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Product Management; Data Analysis; Communication; Problem Solving; Cross-functional Collaboration; Business Acumen; Marketing,,
Product Manager,Product Manager,MEDDICC,Unknown,Unknown,Unknown,Full-time,5+,Mid,Product Management; Agile; Scrum; User Research; Communication; Cross-functional Collaboration; Data Analysis,,
