Job title (original),Job title (short),Company,Country,State,City,Schedule type,Experience years,Seniority,Skills,Degrees,Software
Product Manager - Specialty tyres,Product Manager,Sailun Group,Unknown,Unknown,Unknown,Unknown,5+,Unknown,Product Management; Project Management; Marketing; Communication; Financial Analysis; Business Acumen,Bachelor's Degree; Master's Degree,
Sales And Product Manager,Sales,Bending Spoons,Italy,Unknown,Milan,Full-time,0-3,Unknown,Product Management; Cross-functional Collaboration; Team Leadership; Sales; Marketing; Communication,,
Senior Product Manager (Growth),Product Manager,Simple Life,Cyprus,Unknown,Limassol,Full-time,5+,Senior,Product Management; Data Analysis; Marketing; Communication; Problem Solving; Business Acumen; Cross-functional Collaboration,,SQL
Product Manager - Compliance and KYC,Product Manager,dLocal,Uruguay,Unknown,Montevideo,Full-time,3-5,Unknown,Product Management; Regulatory Compliance; KYC/AML Compliance; Communication; Financial Analysis,,SQL
Senior Product Manager,Product Manager,SteelSeries,Unknown,Unknown,Unknown,Unknown,5+,Senior,Product Management; Communication; Data Analysis; User Research; Business Acumen; Cross-functional Collaboration; Problem Solving; Process Optimization,,
AI Product Strategist & Innovation Manager,Other,Leadtech,Spain,Unknown,Barcelona,Full-time,5+,Lead,Product Management; Process Optimization; Communication; Cross-functional Collaboration; Team Leadership; Agile; Problem Solving,,Tableau; Power BI; Jira; Figma; Google Analytics
Product Manager - Supplements (Remote from Europe),Product Manager,Unknown,European Union,Unknown,Unknown,Unknown,3-5,Unknown,Product Management; Project Management; Cross-functional Collaboration; Communication; Data Analysis; Regulatory Compliance; User Research,,Microsoft Excel; Google Analytics
Digital Product Manager,Project Manager,Darkroom,Unknown,Unknown,Unknown,Full-time,0-3,Unknown,Project Management; Communication; Process Optimization; Problem Solving,,Shopify
Senior Product Manager - Growth,Product Manager,Pleo,Unknown,Unknown,Unknown,Unknown,5+,Senior,Product Management; Data Analysis; User Research; Communication; Business Acumen,,SQL; Microsoft Excel
Senior Product Manager,Product Manager,Unknown,Unknown,Unknown,Unknown,Unknown,5+,Senior,Product Management; Data Analysis; User Research; UI/UX Design; Communication; Project Management,,Google Analytics
