Job title (original),Job title (short),Company,Country,State,City,Schedule type,Experience years,Seniority,Skills,Degrees,Software
profesional de soporte de procesos transaccionales para la plataforma de LMS,Process Designer,Grupo BID,Unknown,Unknown,Unknown,Contract,3-5,Mid,"Process Optimization, Problem Solving, Technical Writing, Document Management, Data Analysis, Cross-functional Collaboration",Bachelor's Degree,"SAP, Microsoft Excel"
Product Owner – Conversational AI,Product Manager,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Senior,"Machine Learning, Product Management, Agile, Scrum, Project Management, Cross-functional Collaboration, Communication",,
"Spanish Telephone/Video Interpreter (Freelance, Remote)",Other,Dals,European Union,Unknown,Unknown,Contract,Unknown,Unknown,Communication,,
profesor/a particular,Other,Tusclasesparticulares,Unknown,Unknown,Unknown,Part-time,0-3,Junior,"Communication, Problem Solving",,
Catalogues Manager,Marketing Specialist,IWG,European Union,Unknown,Unknown,Unknown,5+,Manager,"Project Management, Marketing, Communication, User Research, Sales, Business Acumen, Cross-functional Collaboration",,
Product Manager,Product Manager,Fever,Unknown,Unknown,Unknown,Unknown,5+,Lead,"Product Management, Project Management, Agile, Scrum, Data Analysis, Communication, Problem Solving, Business Acumen, Cross-functional Collaboration, Team Leadership, User Research, Technical Writing, Statistical Reporting","Bachelor's Degree, Engineering",Jira
Gestión de componentes QA,DevOps Engineer,Sogeti,Unknown,Unknown,Unknown,Full-time,0-3,Mid,"Quality Control, Process Optimization, Communication, Cross-functional Collaboration",Engineering,"Jenkins, JFrog Artifactory"
Medical Device Marketing Manager,Product Manager,Unknown,Unknown,Unknown,Unknown,Unknown,5+,Senior,"Product Management, Marketing, Regulatory Compliance, Business Acumen, Cross-functional Collaboration, Problem Solving, Communication",,
Project Manager,Project Manager,Satlink,Spain,Unknown,Unknown,Unknown,3-5,Mid,"Project Management, Communication, Problem Solving, Cross-functional Collaboration, Team Leadership","Bachelor's Degree, Engineering, Other","Microsoft Excel, Salesforce"
Product Marketing Manager,Product Manager,BioCatch,"Germany, Spain, Israel, France",Unknown,Unknown,Unknown,3-5,Mid,"Product Management, Marketing, Data Analysis, Business Acumen, Technical Writing, Sales, Cross-functional Collaboration, Communication, Problem Solving","Bachelor's Degree, Master's Degree",
