COMPANY,JOB TITLE,LOCATION,JOB DESCRIPTION LINK,SOURCE,REFERRED BY,SALARY,BENEFITS,APP SUBMITTED DATE
Imperia SCM,Business Operations,Valencia (Hybrid),https://www.linkedin.com/jobs/view/4285917708/?refId=cda2c4fd-b63e-4660-a9cc-46e503463658&trackingId=fmhVqC5KQDetKlg9dPA%2B8g%3D%3D&trk=flagship3_job_home_appliedjobs,,,,,2025-08-04 15:48:17
SIDI GLOBAL MARKET S.L.,¡Buscamos Project Manager de Marketplaces!,Alacuás (On-site),https://www.linkedin.com/jobs/view/4284349606/?refId=cda2c4fd-b63e-4660-a9cc-46e503463658&trackingId=NF6CHK1sQMKHDbs3mvVabA%3D%3D&trk=flagship3_job_home_appliedjobs,,,,,2025-08-01 15:48:17
BaboonLab,Product & Tech Lead,Spain (Remote),https://www.linkedin.com/jobs/view/4277359649/?refId=cda2c4fd-b63e-4660-a9cc-46e503463658&trackingId=PsIH%2Bh76RR6x3Y99RICtKQ%3D%3D&trk=flagship3_job_home_appliedjobs,,,,,2025-08-03 15:48:18
Sollers Consulting,"Business Analyst 
, Verified",Valencia (Hybrid),https://www.linkedin.com/jobs/view/4261406001/?refId=cda2c4fd-b63e-4660-a9cc-46e503463658&trackingId=GoiRy2I1ROGyUUK2Py9ONw%3D%3D&trk=flagship3_job_home_appliedjobs,,,,,2025-07-29 15:48:18
Leadtech Group,"Payments Product Analyst (Full remote within Spain) 
, Verified",Spain (Remote),https://www.linkedin.com/jobs/view/4244461449/?refId=cda2c4fd-b63e-4660-a9cc-46e503463658&trackingId=tL4OoGoATbOzSdxeX%2BYTlw%3D%3D&trk=flagship3_job_home_appliedjobs,,,,,2025-08-18 15:48:18
Mediens,Project Manager Digital,Spain (Remote),https://www.linkedin.com/jobs/view/4288512288/?refId=cda2c4fd-b63e-4660-a9cc-46e503463658&trackingId=rYf09%2Bs4Tcyz3VFffi%2F8xg%3D%3D&trk=flagship3_job_home_appliedjobs,,,,,2025-08-12 15:48:19
Yuno,Product Analyst - Integrations Team,Spain (Remote),https://www.linkedin.com/jobs/view/4286218044/?refId=cda2c4fd-b63e-4660-a9cc-46e503463658&trackingId=uSJGUyb%2BRZy1BGHy5kjCkA%3D%3D&trk=flagship3_job_home_appliedjobs,,,,,2025-08-02 15:48:19
Holafly,Data Analyst & Business Partner,Spain (Remote),https://www.linkedin.com/jobs/view/4277849926/?refId=cda2c4fd-b63e-4660-a9cc-46e503463658&trackingId=zOvYDd%2BXS52jZfz53YbXXA%3D%3D&trk=flagship3_job_home_appliedjobs,,,,,2025-08-07 15:48:19
BrainRocket,"System Analyst 
, Verified",Valencia (On-site),https://www.linkedin.com/jobs/view/4277323647/?refId=cda2c4fd-b63e-4660-a9cc-46e503463658&trackingId=hoPuqlHgRcy6%2FCmPIZmwtg%3D%3D&trk=flagship3_job_home_appliedjobs,,,,,2025-08-16 15:48:20
Fourvenues,"Digital Data Analyst 
, Verified",Valencia (Hybrid),https://www.linkedin.com/jobs/view/4278929440/?refId=cda2c4fd-b63e-4660-a9cc-46e503463658&trackingId=2Gt20K8RSrOMFPJsNbW%2BEw%3D%3D&trk=flagship3_job_home_appliedjobs,,,,,2025-08-26 15:48:20
Inversiva,Operations Manager,Valencia (Hybrid),https://www.linkedin.com/jobs/view/4205283632/?refId=95b5a0c5-6a2d-4404-989e-2853bda29b8e&trackingId=EAk13FWXQGeyU2Ia9eAGuw%3D%3D&trk=flagship3_job_home_appliedjobs,,,,,2025-08-06 15:48:38
Kaleris,Product Manager - TOS UI,Valencia (On-site),https://www.linkedin.com/jobs/view/4283841655/?refId=95b5a0c5-6a2d-4404-989e-2853bda29b8e&trackingId=kHlq8ZRuQ6i8fU36t7mJgA%3D%3D&trk=flagship3_job_home_appliedjobs,,,,,2025-07-29 15:48:39
AINIA,"Project Manager de Visión artificial e inteligencia artificial 
, Verified",Paterna (Hybrid),https://www.linkedin.com/jobs/view/4268088796/?refId=95b5a0c5-6a2d-4404-989e-2853bda29b8e&trackingId=%2FAZ7o%2F03RI%2B9osrfsc%2B7bQ%3D%3D&trk=flagship3_job_home_appliedjobs,,,,,2025-08-14 15:48:39
BrainRocket,"CRM Product Owner 
, Verified",Valencia (On-site),https://www.linkedin.com/jobs/view/4280742463/?refId=95b5a0c5-6a2d-4404-989e-2853bda29b8e&trackingId=aCai4kL0Tw2sidkmZlXQ3Q%3D%3D&trk=flagship3_job_home_appliedjobs,,,,,2025-08-07 15:48:39
Fourvenues,"Product Analyst – Optimización de flujos de compra y configuración 
, Verified",Valencia (Hybrid),https://www.linkedin.com/jobs/view/4275597414/?refId=95b5a0c5-6a2d-4404-989e-2853bda29b8e&trackingId=17wEU31uRFq1UULKHjVS1Q%3D%3D&trk=flagship3_job_home_appliedjobs,,,,,2025-08-22 15:48:40
Wikifarmer,"Product Manager 
, Verified",Spain (Remote),https://www.linkedin.com/jobs/view/4288224203/?refId=95b5a0c5-6a2d-4404-989e-2853bda29b8e&trackingId=vXue%2FBpeSk%2ByFhWvFZGflg%3D%3D&trk=flagship3_job_home_appliedjobs,,,,,2025-08-13 15:48:40
Darkroom,Digital Product Manager,Barcelona (Remote),https://www.linkedin.com/jobs/view/4277804203/?refId=95b5a0c5-6a2d-4404-989e-2853bda29b8e&trackingId=PypF9HEJT46CPJNXbEbeQw%3D%3D&trk=flagship3_job_home_appliedjobs,,,,,2025-07-28 15:48:41
ZenOwn,"Product Associate 
, Verified",Spain (Remote),https://www.linkedin.com/jobs/view/4268561928/?refId=95b5a0c5-6a2d-4404-989e-2853bda29b8e&trackingId=46ktAgIKSaajmOMgPQqgQA%3D%3D&trk=flagship3_job_home_appliedjobs,,,,,2025-08-15 15:48:41
Robert Walters,"Product Manager (100% Remote) 
, Verified",Spain (Remote),https://www.linkedin.com/jobs/view/4279448881/?refId=95b5a0c5-6a2d-4404-989e-2853bda29b8e&trackingId=6Aw5gsdwRoimmqSDDBxFbQ%3D%3D&trk=flagship3_job_home_appliedjobs,,,,,2025-07-29 15:48:41
Duetto,"Product Manager - Group Meetings and Events 
, Verified",Barcelona (Remote),https://www.linkedin.com/jobs/view/4212160496/?refId=95b5a0c5-6a2d-4404-989e-2853bda29b8e&trackingId=xw9cb01vSdauyPQdfV%2Fm8Q%3D%3D&trk=flagship3_job_home_appliedjobs,,,,,2025-07-28 15:48:41
Eventbrite,"Senior Product Manager (Checkout Experience) 
, Verified",Spain (Remote),https://www.linkedin.com/jobs/view/4275021606/?refId=b825b3f4-a384-44d6-a4e7-0fc42e0d9b26&trackingId=B3lDdrZ1Q62TCXqbKoyZgA%3D%3D&trk=flagship3_job_home_appliedjobs,,,,,2025-08-25 15:49:00
Linnk Group,"Product Manager 
, Verified",Spain (Remote),https://www.linkedin.com/jobs/view/4285933633/?refId=b825b3f4-a384-44d6-a4e7-0fc42e0d9b26&trackingId=qyUBNel%2BQ6OFp%2FgDkYjeAw%3D%3D&trk=flagship3_job_home_appliedjobs,,,,,2025-08-26 15:49:00
ValuraNova,Product Manager,Spain (Remote),https://www.linkedin.com/jobs/view/4280585278/?refId=b825b3f4-a384-44d6-a4e7-0fc42e0d9b26&trackingId=NYjMQtjqRq%2BmR9mtVn6mPg%3D%3D&trk=flagship3_job_home_appliedjobs,,,,,2025-08-13 15:49:00
TuoTempo,Junior Product Manager,Barcelona (Remote),https://www.linkedin.com/jobs/view/4276231856/?refId=b825b3f4-a384-44d6-a4e7-0fc42e0d9b26&trackingId=RPe81V6uRCqCoXnJI2vTyA%3D%3D&trk=flagship3_job_home_appliedjobs,,,,,2025-08-12 15:49:01
Seedtag,"Product Manager 
, Verified",Spain (Remote),https://www.linkedin.com/jobs/view/4278776011/?refId=b825b3f4-a384-44d6-a4e7-0fc42e0d9b26&trackingId=0XsgOEo%2FQ8SEOYWW3sBuWQ%3D%3D&trk=flagship3_job_home_appliedjobs,,,,,2025-08-05 15:49:01
Cornerstone Global Partners (CGP Group),"Product Manager 
, Verified",European Union (Remote),https://www.linkedin.com/jobs/view/4284166327/?refId=b825b3f4-a384-44d6-a4e7-0fc42e0d9b26&trackingId=iwAht8mFRBi6gv2sen6VLw%3D%3D&trk=flagship3_job_home_appliedjobs,,,,,2025-08-01 15:49:02
Hollbridge,Product Manager,European Union (Remote),https://www.linkedin.com/jobs/view/4269610878/?refId=b825b3f4-a384-44d6-a4e7-0fc42e0d9b26&trackingId=xlCVMcNfR5W7xkRJUtMueg%3D%3D&trk=flagship3_job_home_appliedjobs,,,,,2025-07-30 15:49:02
Jobgether,Product Manager - Supplements (Remote from Europe),Spain (Remote),https://www.linkedin.com/jobs/view/4220159274/?refId=b825b3f4-a384-44d6-a4e7-0fc42e0d9b26&trackingId=Y2e6L0SJSeKdcNUjExwSeQ%3D%3D&trk=flagship3_job_home_appliedjobs,,,,,2025-08-26 15:49:03
Andreu World,"Técnico de Compras y Aprovisionamiento 
, Verified",Chiva (On-site),https://www.linkedin.com/jobs/view/4249789338/?refId=b825b3f4-a384-44d6-a4e7-0fc42e0d9b26&trackingId=vPM6rBRsTYeGNQoBvINEXw%3D%3D&trk=flagship3_job_home_appliedjobs,,,,,2025-08-07 15:49:03
