COMPANY,JOB TITLE,LOCATION,JOB DESCRIPTION LINK,SOURCE,REFERRED BY,SALARY,BENEFITS,APP SUBMITTED DATE
Eventbrite,,Spain (Remote),https://www.linkedin.com/jobs/view/4275021606/?refId=68b52076-de76-4d6b-ab2c-c9bb0e321b34&trackingId=L%2F3uG3SnQWmn41wZS5nX1g%3D%3D&trk=flagship3_job_home_appliedjobs,,,,,2025-08-22 15:17:38
Linnk Group,,Spain (Remote),https://www.linkedin.com/jobs/view/4285933633/?refId=68b52076-de76-4d6b-ab2c-c9bb0e321b34&trackingId=Rcbb3VgvS2ORt1pxch%2Fo2w%3D%3D&trk=flagship3_job_home_appliedjobs,,,,,2025-08-10 15:17:38
ValuraNova,,Spain (Remote),https://www.linkedin.com/jobs/view/4280585278/?refId=68b52076-de76-4d6b-ab2c-c9bb0e321b34&trackingId=8U4STYlaR1mUry8dL2B7Vw%3D%3D&trk=flagship3_job_home_appliedjobs,,,,,2025-08-03 15:17:39
TuoTempo,,Barcelona (Remote),https://www.linkedin.com/jobs/view/4276231856/?refId=68b52076-de76-4d6b-ab2c-c9bb0e321b34&trackingId=%2BGlfhiR6QziuG%2BcshCxiJw%3D%3D&trk=flagship3_job_home_appliedjobs,,,,,2025-08-26 15:17:39
Seedtag,,Spain (Remote),https://www.linkedin.com/jobs/view/4278776011/?refId=68b52076-de76-4d6b-ab2c-c9bb0e321b34&trackingId=DM%2BDM37vRJG%2BgaxCdnz0%2Fg%3D%3D&trk=flagship3_job_home_appliedjobs,,,,,2025-08-16 15:17:39
Cornerstone Global Partners (CGP Group),,European Union (Remote),https://www.linkedin.com/jobs/view/4284166327/?refId=68b52076-de76-4d6b-ab2c-c9bb0e321b34&trackingId=y81ZqHlfTdmOcBRHH7wODg%3D%3D&trk=flagship3_job_home_appliedjobs,,,,,2025-08-11 15:17:39
Hollbridge,,European Union (Remote),https://www.linkedin.com/jobs/view/4269610878/?refId=68b52076-de76-4d6b-ab2c-c9bb0e321b34&trackingId=0GDdE%2B58SLG9sRXKqCsvHg%3D%3D&trk=flagship3_job_home_appliedjobs,,,,,2025-08-08 15:17:39
Jobgether,,Spain (Remote),https://www.linkedin.com/jobs/view/4220159274/?refId=68b52076-de76-4d6b-ab2c-c9bb0e321b34&trackingId=OP%2Fkg1qrSFyZMA4K40n6LA%3D%3D&trk=flagship3_job_home_appliedjobs,,,,,2025-08-20 15:17:40
Andreu World,,Chiva (On-site),https://www.linkedin.com/jobs/view/4249789338/?refId=68b52076-de76-4d6b-ab2c-c9bb0e321b34&trackingId=LQGfLgfCSnuw%2BJ0z2jP%2B8A%3D%3D&trk=flagship3_job_home_appliedjobs,,,,,2025-08-03 15:17:40
CIPASI S.A.,CIPASI S.A.,Greater Valencia Metropolitan Area (On-site),https://www.linkedin.com/jobs/view/4256668805/?refId=68b52076-de76-4d6b-ab2c-c9bb0e321b34&trackingId=xV9RBk1jRES9NzxQgVmtnw%3D%3D&trk=flagship3_job_home_appliedjobs,,,,,2025-08-10 15:17:40
